Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2003:Q2,Bottom50,1195634,3987861,2135256,798539,81866,204834,201606,78993,486767,2792227,1687104,1051246,53877
2003:Q3,TopPt1,4339455,4387688,545775,224980,1293653,32802,40667,1098967,1150844,48232,32397,5898,9937
2003:Q3,RemainingTop1,7598267,8055873,1765179,313594,1988775,286214,342935,1699623,1659553,457606,317528,26962,113116
2003:Q3,Next9,16974008,18492454,4699472,752560,2759701,4048560,1530941,1666547,3034673,1518446,1206872,164222,147352
2003:Q3,Next40,16362243,20642190,8085058,1535155,1446249,3804919,1574440,1145648,3050721,4279946,3399618,796844,83484
2003:Q3,Bottom50,1227192,4076729,2216396,804554,82321,205784,202835,80824,484016,2849537,1738418,1065749,45370
2003:Q4,TopPt1,4623442,4679490,558792,233398,1534908,33584,43765,1106126,1168917,56048,33640,6418,15990
2003:Q4,RemainingTop1,7994298,8483966,1826095,306052,2250903,270046,363430,1738073,1729367,489668,330064,28055,131549
2003:Q4,Next9,17675687,19214036,4800128,771587,3076007,4128077,1666475,1676709,3095053,1538348,1229172,171161,138015
2003:Q4,Next40,16786510,21190845,8286414,1554631,1545929,3831929,1697227,1172617,3102098,4404336,3514938,810999,78399
2003:Q4,Bottom50,1244952,4162909,2271276,811933,88118,206957,215153,82753,486719,2917957,1794219,1086300,37438
2004:Q1,TopPt1,5076861,5135251,581679,249042,1667664,34035,44201,1144177,1414452,58390,35119,6414,16857
2004:Q1,RemainingTop1,8492023,8997122,1921156,297770,2386818,258930,364095,1793829,1974523,505099,338791,28058,138250
2004:Q1,Next9,18497168,20060647,4997013,787605,3216898,4250588,1718270,1716691,3373583,1563479,1254107,170755,138617
2004:Q1,Next40,17374859,21873826,8622355,1579682,1580367,3890971,1726714,1208532,3265204,4498967,3619448,804061,75458
2004:Q1,Bottom50,1269214,4227281,2311789,823666,88068,209514,215537,84460,494247,2958067,1830352,1087184,40531
2004:Q2,TopPt1,5143809,5206007,603677,246707,1677576,36825,44703,1245332,1351187,62198,37337,6759,18102
2004:Q2,RemainingTop1,8618166,9138662,1990559,292559,2385820,270392,362898,1884865,1951569,520496,345948,28531,146017
2004:Q2,Next9,18786025,20408469,5122695,819850,3170506,4330869,1753573,1817729,3393248,1622444,1306286,174222,141936
2004:Q2,Next40,17645858,22291193,8895382,1603893,1550720,3961746,1746047,1262610,3270796,4645336,3762294,808538,74504
2004:Q2,Bottom50,1313607,4350556,2433285,832106,81977,210021,215006,85704,492457,3036948,1894477,1096489,45982
2004:Q3,TopPt1,5325698,5387931,625808,265426,1695572,39629,44459,1347889,1369147,62233,39024,7424,15785
2004:Q3,RemainingTop1,8865431,9396688,2086592,282577,2393148,282209,357952,1976880,2017330,531257,356584,29700,144973
2004:Q3,Next9,19216955,20878259,5365249,825134,3133729,4413443,1780159,1920382,3440163,1661305,1343194,182355,135756
2004:Q3,Next40,17956596,22741774,9195875,1617190,1523668,4034079,1748908,1317276,3304778,4785178,3894175,826627,64376
2004:Q3,Bottom50,1293848,4414701,2499552,837533,75983,210540,212136,86944,492012,3120853,1958263,1118768,43822
2004:Q4,TopPt1,5660578,5724657,645338,256366,1887922,49953,50022,1393959,1441097,64079,39484,7571,17024
2004:Q4,RemainingTop1,9216655,9746188,2147194,293567,2597579,305954,397827,1978523,2025544,529534,358255,31277,140002
2004:Q4,Next9,20048328,21802231,5552551,843698,3410127,4492636,1904618,2011746,3586855,1753902,1411804,189737,152361
2004:Q4,Next40,18531506,23418533,9506619,1641596,1600378,4103163,1867336,1308711,3390729,4887026,3962399,849663,74964
2004:Q4,Bottom50,1335712,4608556,2615829,862991,84584,210998,229561,94761,509832,3272844,2072812,1141871,58161
2005:Q1,TopPt1,5734252,5794534,662322,254702,1898688,60688,52325,1447965,1417844,60282,38399,6242,15641
2005:Q1,RemainingTop1,9313466,9846384,2204802,302720,2604153,325196,410462,1984854,2014197,532918,371844,31759,129315
2005:Q1,Next9,20416909,22195505,5784559,851281,3421369,4533296,1898955,2110936,3595108,1778596,1441390,184463,152743
2005:Q1,Next40,18814714,23735177,9750179,1660013,1590841,4143042,1854006,1302665,3434430,4920463,4012461,835187,72815
2005:Q1,Bottom50,1357431,4771320,2732174,886423,85144,210144,230856,102499,524080,3413889,2208996,1147324,57569
2005:Q2,TopPt1,5996153,6058482,681918,265630,1975822,71449,56019,1548812,1458832,62329,38780,5898,17651
2005:Q2,RemainingTop1,9568411,10102377,2276888,309947,2681388,345553,435211,2017950,2035440,533965,375245,32838,125882
2005:Q2,Next9,21040003,22898604,6076955,848519,3527951,4581481,1952523,2255951,3655224,1858601,1514217,187090,157294
2005:Q2,Next40,19130243,24141250,9964559,1680776,1610129,4188425,1898615,1310526,3488221,5011007,4091101,844185,75721
2005:Q2,Bottom50,1362601,4929835,2833977,913488,88652,209492,239219,109907,535101,3567233,2344415,1162379,60439
2005:Q3,TopPt1,6231665,6295135,700676,253045,2116605,82323,60737,1666904,1414845,63470,39191,5807,18472
2005:Q3,RemainingTop1,9835043,10367224,2332731,320425,2825191,365718,464783,2061236,1997139,532181,378332,34270,119579
2005:Q3,Next9,21668591,23612721,6309115,861211,3724616,4626398,2016212,2418176,3656993,1944130,1589478,192590,162062
2005:Q3,Next40,19532991,24643878,10263254,1691747,1655242,4231200,1963531,1323763,3515142,5110887,4171094,861684,78109
2005:Q3,Bottom50,1429310,5160355,3006257,931488,94993,208686,250599,117210,551122,3731045,2483122,1184033,63890
2005:Q4,TopPt1,6396352,6461378,711658,241141,2163518,93267,64950,1729981,1456863,65026,39520,5743,19763
2005:Q4,RemainingTop1,10025815,10554933,2377869,331188,2868002,386184,492081,2073501,2026108,529117,379986,35587,113544
2005:Q4,Next9,22164379,24181157,6503635,875647,3785553,4672137,2075489,2526760,3741936,2016778,1659971,197753,159054
2005:Q4,Next40,19931479,25121621,10545777,1706361,1657675,4274457,2018072,1321035,3598245,5190143,4236513,878192,75438
2005:Q4,Bottom50,1493818,5364614,3152725,951933,97166,207865,260470,124861,569594,3870796,2607398,1203280,60118
2006:Q1,TopPt1,6840972,6909593,703854,251235,2531355,104217,68940,1751463,1498530,68621,40362,5421,22838
2006:Q1,RemainingTop1,10463254,10989697,2381083,338358,3246729,407608,518646,2062055,2035218,526443,378881,36375,111187
2006:Q1,Next9,22938053,25055396,6605040,870691,4300423,4724213,2134833,2594344,3825853,2117344,1746973,199286,171085
2006:Q1,Next40,20092379,25378231,10487066,1723106,1791648,4322346,2069153,1306044,3678868,5285853,4317496,883937,84420
2006:Q1,Bottom50,1460636,5482306,3197591,977422,113618,207213,269789,132731,583943,4021670,2738341,1212566,70763
2006:Q2,TopPt1,6843828,6914902,705982,239128,2445799,115328,71269,1827352,1510045,71074,40742,4865,25467
2006:Q2,RemainingTop1,10419824,10945979,2394619,349242,3148528,428080,530615,2081768,2013127,526155,381711,37021,107423
2006:Q2,Next9,23067410,25270536,6722172,885074,4171303,4766610,2122707,2715280,3887391,2203126,1824746,198684,179696
2006:Q2,Next40,20153103,25524864,10600318,1737550,1735900,4362853,2051524,1307192,3729527,5371761,4397054,883866,90841
2006:Q2,Bottom50,1462976,5650394,3331405,998236,109895,206201,270734,140250,593673,4187418,2883828,1225175,78415
2006:Q3,TopPt1,7040437,7113552,702453,223824,2555102,126395,75323,1899108,1531347,73115,40640,4942,27533
2006:Q3,RemainingTop1,10612252,11137810,2394764,360745,3253108,449892,557139,2099164,2022998,525558,385038,38298,102222
2006:Q3,Next9,23508847,25784809,6797535,902601,4316303,4818626,2179679,2831949,3938116,2275962,1885080,203582,187300
2006:Q3,Next40,20345565,25792247,10691910,1752235,1758332,4410473,2101445,1307130,3770721,5446682,4448714,901774,96194
2006:Q3,Bottom50,1457694,5815220,3443061,1018872,114839,205473,280010,147765,605200,4357526,3009397,1262844,85285
2006:Q4,TopPt1,7306783,7384252,691246,219933,2803193,137448,80432,1936032,1515969,77469,40378,5016,32075
2006:Q4,RemainingTop1,10886113,11412125,2387340,369944,3500030,472519,591194,2096499,1994600,526012,385247,39408,101357
2006:Q4,Next9,24086052,26431566,6846413,906401,4654166,4875932,2267732,2913714,3967209,2345514,1932467,208204,204843
2006:Q4,Next40,20556846,26052209,10702651,1762699,1833406,4461960,2185055,1296624,3809814,5495363,4466809,917664,110890
2006:Q4,Bottom50,1437715,5923002,3483519,1039282,125961,204889,293634,155417,620300,4485287,3096344,1286423,102520
2007:Q1,TopPt1,7579006,7655715,672964,229363,2984741,148635,84079,1940233,1595700,76709,40906,4394,31409
2007:Q1,RemainingTop1,11123060,11634423,2360482,377083,3675841,494354,612838,2074839,2038986,511362,381351,39019,90992
2007:Q1,Next9,24532075,26944209,6849459,899115,4895841,4924861,2296644,2962257,4116031,2412134,2003383,202235,206516
2007:Q1,Next40,20581324,26102017,10520269,1775578,1879050,4507087,2210966,1276196,3932870,5520692,4508081,903121,109490
2007:Q1,Bottom50,1384484,5968937,3462126,1063493,134109,203996,300152,163152,641909,4584453,3189840,1291404,103209
2007:Q2,TopPt1,7752942,7831361,660694,229494,3096823,158613,89111,1987455,1609172,78419,40968,4379,33072
2007:Q2,RemainingTop1,11225852,11732847,2339493,385901,3778484,514428,647899,2077897,1988745,506995,380636,40090,86269
2007:Q2,Next9,24931919,27427867,6867073,900840,5038153,4991461,2394450,3052831,4183059,2495947,2063171,206397,226379
2007:Q2,Next40,20576272,26157938,10395513,1788832,1895499,4553205,2298820,1268544,3957524,5581666,4541896,916968,122802
2007:Q2,Bottom50,1341614,6062693,3492994,1086554,139141,205903,314091,170617,653393,4721080,3290399,1309132,121549
2007:Q3,TopPt1,7977562,8058639,643355,222136,3143477,168575,92915,2002773,1785408,81077,40576,4738,35763
2007:Q3,RemainingTop1,11384580,11886018,2305859,395681,3812724,533637,671643,2062363,2104111,501438,382826,41579,77033
2007:Q3,Next9,25308660,27850566,6821996,906519,5087278,5050949,2435518,3110626,4437680,2541907,2112036,213533,216338
2007:Q3,Next40,20629927,26256498,10271662,1797545,1885204,4594066,2333971,1251157,4122894,5626571,4567248,942030,117293
2007:Q3,Bottom50,1295471,6160264,3531955,1106060,141231,207575,321646,178129,673668,4864793,3396882,1353672,114239
2007:Q4,TopPt1,7797750,7883366,650192,237041,2935550,169574,91742,1935359,1863908,85616,42742,5885,36989
2007:Q4,RemainingTop1,11193234,11701216,2278022,384986,3620588,551750,664869,2050159,2150843,507982,383135,45351,79496
2007:Q4,Next9,25198012,27766594,6770969,913877,4839633,5086914,2428005,3032980,4694215,2568582,2132060,220052,216470
2007:Q4,Next40,20496031,26162654,10124564,1825025,1806354,4651028,2281455,1255780,4218448,5666623,4584074,958944,123605
2007:Q4,Bottom50,1087284,6051693,3420265,1113860,130846,207382,316847,178946,683547,4964409,3463281,1379245,121883
2008:Q1,TopPt1,7442117,7532415,645109,239384,2652520,170656,88634,1753345,1982767,90298,44960,6319,39019
2008:Q1,RemainingTop1,10831790,11345533,2204494,376548,3348947,568870,637794,1968107,2240773,513744,381407,47492,84845
2008:Q1,Next9,24639123,27230457,6576704,933878,4483476,5113650,2316525,2837782,4968442,2591334,2149269,215511,226554
2008:Q1,Next40,20055303,25726593,9791015,1853507,1696955,4701047,2137235,1223128,4323706,5671290,4589475,944541,137274
2008:Q1,Bottom50,920629,5958597,3340854,1120060,117123,206877,300833,179693,693157,5037967,3511180,1388145,138642
2008:Q2,TopPt1,7226431,7318467,643973,229729,2515857,171586,89116,1705396,1962810,92036,48204,7695,36137
2008:Q2,RemainingTop1,10696709,11193957,2133641,369377,3226528,587434,637055,1963287,2276635,497248,367350,50556,79342
2008:Q2,Next9,24288882,26890337,6392297,958587,4329174,5152439,2318497,2777250,4962093,2601455,2179646,219414,202395
2008:Q2,Next40,19711152,25361054,9503076,1872171,1642825,4760111,2110626,1230299,4241945,5649902,4574560,952623,122719
2008:Q2,Bottom50,919487,5920596,3326556,1118878,109942,206779,299815,179997,678630,5001109,3489635,1390164,121310
2008:Q3,TopPt1,6778532,6878040,640902,236515,2112079,172637,85286,1601673,2028947,99508,48793,8256,42459
2008:Q3,RemainingTop1,10273655,10792614,2078591,359429,2823320,604760,604349,1922891,2399274,518959,373673,53243,92043
2008:Q3,Next9,23534525,26133966,6254989,968537,3793715,5180130,2192302,2658652,5085642,2599442,2149297,218216,231929
2008:Q3,Next40,19239683,24873108,9223929,1892101,1481123,4810860,1946409,1218051,4300634,5633424,4529961,948837,154626
2008:Q3,Bottom50,705255,5806672,3243000,1121151,90928,206310,280376,180059,684848,5101417,3526699,1415261,159457
2008:Q4,TopPt1,6143575,6242543,634908,245457,1525044,173893,79618,1451985,2131637,98968,49677,8789,40502
2008:Q4,RemainingTop1,9779978,10291526,2028824,347472,2216874,620060,547422,1851227,2679647,511548,375558,55812,80178
2008:Q4,Next9,22355592,24854747,6131366,964581,2982634,5189841,1938548,2490780,5156997,2499155,2120521,216510,162124
2008:Q4,Next40,18683846,24209270,8983316,1894590,1235830,4848169,1682088,1188304,4376973,5525424,4472862,941480,111082
2008:Q4,Bottom50,568733,5626998,3117210,1114146,63920,205236,248192,179614,698680,5058265,3534386,1421198,102681
2009:Q1,TopPt1,5799797,5896957,628612,247741,1296025,175369,78464,1305125,2165621,97160,50572,8231,38357
2009:Q1,RemainingTop1,9516242,10030207,1974803,336522,1982628,633284,532676,1777388,2792905,513965,380890,56506,76569
2009:Q1,Next9,21756056,24204560,5998486,966292,2675543,5181068,1893640,2323522,5166008,2448504,2099937,202793,145774
2009:Q1,Next40,18306653,23750142,8739515,1896095,1132543,4871716,1602285,1156354,4351635,5443489,4440898,899969,102622
2009:Q1,Bottom50,411033,5493326,3025895,1105407,52887,203538,238937,178645,688018,5082293,3578500,1410643,93150
2009:Q2,TopPt1,5823570,5924846,629178,241441,1670192,176503,83654,1123850,2000028,101276,52600,8671,40005
2009:Q2,RemainingTop1,9738646,10252292,1920969,327491,2402625,650179,573935,1676169,2700924,513645,375570,58637,79438
2009:Q2,Next9,22145414,24593470,5880317,979385,3254796,5204338,2102151,2116554,5055929,2448057,2102769,198757,146531
2009:Q2,Next40,18310071,23717053,8497443,1902371,1292149,4919383,1753602,1108247,4243858,5406982,4411523,884402,111057
2009:Q2,Bottom50,418580,5499886,3016878,1097827,68384,202930,260311,176685,676871,5081306,3579113,1398407,103786
2009:Q3,TopPt1,6187591,6292308,633052,230346,2057865,177632,89115,1077102,2027196,104718,53493,9187,42038
2009:Q3,RemainingTop1,10189149,10711792,1879624,318707,2832546,667436,617968,1660762,2734749,522643,378300,60826,83517
2009:Q3,Next9,22939800,25362046,5788800,993106,3847651,5230745,2327798,2052747,5121199,2422245,2076532,196354,149359
2009:Q3,Next40,18517668,23877479,8322834,1902904,1452228,4969549,1918672,1106397,4204895,5359810,4361594,876985,121231
2009:Q3,Bottom50,386592,5514155,3013095,1086205,84458,202433,283338,175732,668894,5127563,3595966,1415359,116238
2009:Q4,TopPt1,6154066,6262334,640370,243633,2116851,178951,91599,1008994,1981936,108267,55312,9863,43092
2009:Q4,RemainingTop1,10251037,10773865,1864626,307451,2911559,683172,636081,1628921,2742055,522828,373486,63003,86339
2009:Q4,Next9,23123612,25544626,5774230,996873,3964735,5243676,2440298,1965333,5159480,2421013,2073086,193771,154156
2009:Q4,Next40,18544472,23867820,8183211,1922797,1475250,5009833,1974637,1094906,4207186,5323347,4323922,867894,131531
2009:Q4,Bottom50,332640,5473254,2954829,1089379,86075,201482,291897,174315,675277,5140614,3590300,1420486,129828
2010:Q1,TopPt1,6348601,6465557,651863,243004,2259147,179403,94692,1030672,2006776,116956,56806,9908,50242
2010:Q1,RemainingTop1,10502135,11035416,1856090,297024,3079464,708228,655539,1659107,2779964,533280,367153,63779,102348
2010:Q1,Next9,23622422,26028876,5770340,1002919,4202463,5339157,2549327,1977413,5187257,2406454,2054159,182822,169473
2010:Q1,Next40,18764026,24013076,8118787,1926644,1532831,5112130,2034636,1117952,4170097,5249051,4256010,833742,159299
2010:Q1,Bottom50,319893,5430606,2917444,1081213,91355,203348,301416,174343,661487,5110713,3551236,1402807,156670
2010:Q2,TopPt1,6232049,6352943,664889,244429,1999591,179528,93564,1128546,2042396,120893,58941,10697,51255
2010:Q2,RemainingTop1,10332811,10863129,1848829,285674,2818748,726135,634119,1743863,2805761,530317,358289,66195,105833
2010:Q2,Next9,23454856,25864404,5783437,1004006,3858838,5438989,2468936,2074959,5235239,2409548,2057998,180583,170967
2010:Q2,Next40,18547875,23756498,8021262,1926036,1424922,5178024,1920249,1171874,4114130,5208622,4217293,824191,167138
2010:Q2,Bottom50,292525,5380992,2916227,1070767,79068,202919,288018,175846,648147,5088467,3525310,1396787,166370
2010:Q3,TopPt1,6582523,6704566,669872,240147,2301306,179388,98271,1170908,2044674,122043,60346,11656,50041
2010:Q3,RemainingTop1,10761247,11288115,1826569,275700,3158690,747738,671125,1790042,2818251,526868,355117,68804,102947
2010:Q3,Next9,24338085,26727818,5732737,1013297,4330617,5571885,2670972,2112375,5295934,2389733,2043704,181008,165021
2010:Q3,Next40,18857564,24016613,7927497,1929593,1550015,5269214,2054345,1204199,4081750,5159049,4167708,825279,166062
2010:Q3,Bottom50,318178,5418268,2933913,1061627,91326,203644,307041,176565,644151,5100089,3514174,1416979,168936
2010:Q4,TopPt1,6903004,7022456,661156,258833,2559927,166887,99502,1222256,2053895,119451,57339,13315,48797
2010:Q4,RemainingTop1,11111649,11641330,1831093,280566,3401837,769558,702371,1788682,2867222,529680,353481,69362,106837
2010:Q4,Next9,25004065,27399245,5698645,1002771,4678888,5694522,2800204,2161679,5362537,2395180,2016963,201730,176487
2010:Q4,Next40,19171750,24354232,7845271,1926664,1668978,5372775,2205230,1202775,4132539,5182481,4131235,885594,165652
2010:Q4,Bottom50,239259,5301215,2784976,1066668,100802,208338,319970,172134,648328,5061956,3408261,1476811,176884
2011:Q1,TopPt1,7156700,7271887,650121,269319,2788606,155144,101444,1262364,2044889,115187,55672,12757,46758
2011:Q1,RemainingTop1,11374526,11895786,1819302,287754,3610089,783198,725113,1778658,2891672,521259,347249,65057,108953
2011:Q1,Next9,25373713,27796736,5603943,1005102,4980995,5744511,2853241,2198896,5410047,2423023,2036094,195836,191093
2011:Q1,Next40,19340988,24530691,7714495,1931383,1774929,5422070,2319030,1196555,4172228,5189703,4154667,869445,165591
2011:Q1,Bottom50,246847,5252167,2702099,1074705,108932,210541,328863,167426,659601,5005320,3333295,1485214,186811
2011:Q2,TopPt1,7261545,7371457,648652,293752,2788910,143430,100667,1301122,2094924,109912,53354,12759,43799
2011:Q2,RemainingTop1,11434973,11950819,1835961,292771,3577528,796291,729992,1766965,2951311,515846,345512,62545,107789
2011:Q2,Next9,25524504,27953070,5610573,996395,4957011,5789357,2844309,2234877,5520547,2428566,2037151,199576,191839
2011:Q2,Next40,19444589,24641735,7634482,1939333,1789924,5467793,2358526,1189473,4262204,5197146,4163116,878568,155462
2011:Q2,Bottom50,268887,5216686,2649395,1086823,107043,212571,327159,162600,671095,4947800,3264685,1499629,183486
2011:Q3,TopPt1,6902569,7009168,643375,286308,2288708,131962,95228,1353089,2210498,106599,51235,12991,42373
2011:Q3,RemainingTop1,10970839,11482345,1830150,302754,3020272,806029,690033,1763348,3069758,511506,342563,59737,109206
2011:Q3,Next9,24704327,27143530,5533731,1012589,4219747,5803903,2616676,2285307,5671577,2439203,2043827,203953,191423
2011:Q3,Next40,19210389,24427938,7629852,1939588,1604042,5491017,2196923,1186950,4379565,5217549,4176684,892307,148558
2011:Q3,Bottom50,273843,5185215,2654326,1089389,83337,213566,300159,157808,686630,4911372,3195081,1533187,183104
2011:Q4,TopPt1,7152693,7255592,635433,301214,2480438,120012,97051,1424118,2197327,102899,48735,13200,40964
2011:Q4,RemainingTop1,11255494,11766545,1836679,308381,3188800,820880,716731,1771239,3123834,511050,343013,57312,110725
2011:Q4,Next9,25165768,27606359,5499070,1005288,4470618,5863512,2708173,2356189,5703509,2440591,2042281,210579,187731
2011:Q4,Next40,19492305,24730918,7580217,1936215,1698222,5548313,2335861,1190820,4441270,5238613,4187959,910996,139658
2011:Q4,Bottom50,260107,5141830,2574567,1093556,89696,216110,310666,153035,704199,4881723,3137189,1564137,180397
2012:Q1,TopPt1,7544509,7643537,631140,328134,2880007,107916,99513,1452977,2143851,99028,47036,12818,39174
2012:Q1,RemainingTop1,11690160,12192047,1851143,312749,3570634,836908,755303,1750128,3115182,501887,335905,53003,112979
2012:Q1,Next9,25903414,28365954,5494322,992281,5012876,5933107,2879118,2381616,5672634,2462540,2056743,206532,199265
2012:Q1,Next40,19828463,25066520,7479076,1941288,1874193,5613284,2536612,1178521,4443546,5238057,4200355,899497,138205
2012:Q1,Bottom50,282004,5092065,2481224,1104464,105076,219000,327493,147704,707104,4810062,3049644,1573192,187226
2012:Q2,TopPt1,7577442,7672470,643842,329367,2780562,96069,99001,1530255,2193373,95027,44650,13015,37362
2012:Q2,RemainingTop1,11642603,12141712,1877155,320763,3432415,848971,749160,1759428,3153820,499108,334557,50189,114362
2012:Q2,Next9,25864713,28333537,5537183,996902,4847543,5966609,2785296,2458673,5741331,2468824,2055824,212459,200541
2012:Q2,Next40,19876278,25129032,7533842,1936376,1852014,5651298,2527886,1183026,4444590,5252754,4206628,915438,130688
2012:Q2,Bottom50,355619,5121343,2529977,1105556,98662,220656,319871,142581,704039,4765723,2980086,1599366,186271
2012:Q3,TopPt1,7939782,8030086,655210,334094,3002073,83946,100641,1635444,2218678,90305,41645,13026,35634
2012:Q3,RemainingTop1,11999127,12501362,1914342,328254,3625245,863577,771704,1784784,3213456,502235,338907,47347,115981
2012:Q3,Next9,26499127,28966967,5599854,998652,5133788,6022168,2860591,2564736,5787178,2467841,2043524,218392,205925
2012:Q3,Next40,20319332,25592021,7651587,1932045,1956598,5705966,2658917,1196200,4490708,5272689,4213301,933185,126203
2012:Q3,Bottom50,388909,5149332,2538787,1107562,106199,223073,327901,137344,708465,4760423,2932571,1638503,189349
2012:Q4,TopPt1,8052987,8140616,663195,343682,3039019,71817,100634,1699413,2222856,87629,40548,14011,33070
2012:Q4,RemainingTop1,12110936,12597445,1949636,335528,3626070,877184,778329,1782213,3248485,486509,327667,44451,114391
2012:Q4,Next9,26755689,29253795,5653155,1000091,5158830,6068011,2856689,2626443,5890576,2498105,2070915,228793,198397
2012:Q4,Next40,20582579,25888374,7743507,1934148,1988746,5753399,2717235,1193819,4557520,5305794,4232823,960168,112803
2012:Q4,Bottom50,469325,5153328,2524383,1113991,105627,225160,326814,131628,725725,4684004,2836394,1665482,182128
2013:Q1,TopPt1,8518790,8598238,683793,363226,3493688,58432,103243,1763369,2132487,79448,35490,12280,31678
2013:Q1,RemainingTop1,12609598,13115110,2018199,340991,4054273,907399,808476,1778181,3207591,505512,347894,40539,117079
2013:Q1,Next9,27851605,30300117,5809281,991682,5766637,6262488,2973381,2687549,5809099,2448512,2016631,222723,209158
2013:Q1,Next40,21278467,26560832,7930251,1935527,2182283,5912365,2891784,1190471,4518151,5282365,4224264,945681,112420
2013:Q1,Bottom50,454450,5171562,2501047,1121664,123308,232338,339062,125690,728454,4717112,2834122,1692550,190440
2013:Q2,TopPt1,8626460,8702434,711842,367329,3559830,44192,103518,1911850,2003873,75974,33132,12444,30398
2013:Q2,RemainingTop1,12678866,13183665,2079413,348355,4081975,926894,814674,1824424,3107929,504799,347338,37464,119997
2013:Q2,Next9,28267152,30735222,5958211,991825,5828855,6451455,2964147,2836174,5704555,2468070,2020430,230028,217612
2013:Q2,Next40,21641302,26957324,8127134,1927677,2225309,6054645,2952977,1214228,4455354,5316021,4241156,963908,110957
2013:Q2,Bottom50,548152,5237831,2563074,1121633,123914,240920,337663,119641,730986,4689680,2775135,1716349,198196
2013:Q3,TopPt1,8992936,9064728,732463,361987,3788353,29736,105655,2061955,1984579,71791,30978,12732,28081
2013:Q3,RemainingTop1,13061703,13563016,2148589,357650,4274229,947961,840601,1868992,3124994,501314,347325,34316,119673
2013:Q3,Next9,29105462,31594430,6061117,1002703,6115201,6654440,3066355,2984747,5709867,2488968,2034130,237463,217375
2013:Q3,Next40,22303376,27666918,8375033,1922553,2329951,6207232,3114620,1236595,4480933,5363542,4276110,985720,101712
2013:Q3,Bottom50,652461,5340234,2635861,1121569,131611,249996,347314,113172,740711,4687773,2733345,1760066,194362
2013:Q4,TopPt1,9276250,9352509,746915,368683,4038586,33124,115975,2103381,1945845,76259,32061,13266,30932
2013:Q4,RemainingTop1,13462385,13985328,2184791,356279,4569096,934763,869163,1951048,3120188,522943,356571,38757,127615
2013:Q4,Next9,29963576,32489005,6170837,997014,6437072,6904577,3271031,2976639,5731835,2525428,2019089,244151,262188
2013:Q4,Next40,22774515,28229681,8560645,1934500,2404282,6340960,3239300,1247373,4502621,5455166,4299293,1017679,138194
2013:Q4,Bottom50,651898,5361142,2624594,1120858,139161,252483,361568,114568,747910,4709245,2693170,1776615,239460
2014:Q1,TopPt1,9601650,9679824,759736,384698,4295444,37514,123714,2096112,1982606,78174,33586,13143,31445
2014:Q1,RemainingTop1,13882624,14413985,2238809,352864,4870495,905984,873530,2001762,3170541,531361,361481,41576,128304
2014:Q1,Next9,30674073,33193701,6294723,979818,6768956,7016987,3348389,2919212,5865615,2519628,2009944,239880,269804
2014:Q1,Next40,23073753,28557645,8687008,1942341,2482343,6370570,3246036,1242164,4587183,5483892,4317467,1020587,145838
2014:Q1,Bottom50,692407,5353999,2600775,1119347,147008,250223,362152,115898,758596,4661592,2633905,1781628,246059
2014:Q2,TopPt1,9977975,10059206,779854,392261,4554757,41879,132450,2182055,1975949,81230,35375,14046,31809
2014:Q2,RemainingTop1,14348392,14888630,2292640,351588,5174206,877598,886753,2108814,3197032,540238,365520,45980,128738
2014:Q2,Next9,31436024,33966379,6424834,975471,7104780,7134736,3470447,2959632,5896478,2530355,2009353,248618,272384
2014:Q2,Next40,23409773,28964654,8862562,1957626,2562306,6403741,3297364,1267897,4613159,5554881,4346633,1057453,150795
2014:Q2,Bottom50,788437,5417510,2646426,1120599,154962,248112,367990,117322,762100,4629073,2581460,1797906,249707
2014:Q3,TopPt1,10038660,10120373,794189,408260,4465356,46363,138968,2271783,1995454,81713,37063,14853,29797
2014:Q3,RemainingTop1,14451315,14993381,2351655,349488,5119247,847392,878330,2217682,3229586,542065,371318,50150,120597
2014:Q3,Next9,31688325,34190566,6556526,968041,6954769,7238335,3475070,3004946,5992879,2502241,2009053,255392,237796
2014:Q3,Next40,23563895,29166415,9052197,1980324,2509193,6425779,3244387,1295139,4659395,5602520,4382272,1091976,128272
2014:Q3,Bottom50,819235,5408965,2641131,1127414,147739,245481,361870,118785,766546,4589730,2540650,1830574,218506
2014:Q4,TopPt1,10304372,10388320,802078,426014,4641116,50779,146761,2345080,1976492,83948,38739,15616,29593
2014:Q4,RemainingTop1,14801187,15352479,2400430,346348,5336098,818259,885141,2315675,3250529,551292,377379,54564,119349
2014:Q4,Next9,32252464,34757372,6658606,953901,7174702,7353054,3568646,3034168,6014295,2504908,2008810,263579,232519
2014:Q4,Next40,23782180,29456720,9183872,1995325,2558389,6455837,3267925,1317127,4678246,5674541,4418917,1127525,128099
2014:Q4,Bottom50,816416,5381595,2600727,1130173,152103,243204,364354,120242,770792,4565179,2501806,1848256,215117
2015:Q1,TopPt1,10546638,10631700,817962,440635,4751965,55266,154827,2400839,2010206,85062,39937,15204,29921
2015:Q1,RemainingTop1,15110910,15673856,2454122,343840,5485607,788068,890971,2401882,3309366,562946,385293,57028,120625
2015:Q1,Next9,32840389,35325624,6783778,943441,7304340,7460307,3647212,3046194,6140352,2485236,1993239,257780,234217
