Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1994:Q4,Next9,9209061,9905623,2215471,478865,1186681,2356177,722536,1036434,1909459,696562,566122,76745,53695
1994:Q4,Next40,9416682,11320542,4035936,1009975,597111,2475382,695795,594510,1911833,1903860,1461506,373198,69156
1994:Q4,Bottom50,906179,2543772,1243169,582254,56481,150289,120865,55689,335025,1637592,1004085,558895,74612
1995:Q1,TopPt1,2980735,3009054,237580,187237,687600,13679,20018,749624,1113317,28319,14383,917,13019
1995:Q1,RemainingTop1,4149133,4314213,623846,175748,1202408,125075,175378,1019441,992317,165079,124468,10571,30040
1995:Q1,Next9,9352172,10035583,2217565,481906,1253582,2415691,749943,1028986,1887910,683410,560262,73933,49215
1995:Q1,Next40,9548282,11455237,4065438,1020119,616514,2507672,728550,594831,1922114,1906956,1466165,371380,69411
1995:Q1,Bottom50,931363,2604175,1270774,595687,59603,150952,128855,56845,341459,1672812,1027158,567744,77910
1995:Q2,TopPt1,3081064,3110344,231877,180121,747664,13123,21019,767050,1149490,29281,14771,1086,13424
1995:Q2,RemainingTop1,4288007,4458077,612957,179079,1292356,139307,183804,1048059,1002515,170070,129407,10712,29951
1995:Q2,Next9,9422964,10101896,2176570,496780,1328479,2413584,785400,1022361,1878722,678932,555726,76552,46654
1995:Q2,Next40,9737515,11671888,4134980,1025022,638136,2581595,762779,595289,1934087,1934374,1477750,385215,71409
1995:Q2,Bottom50,982494,2716344,1351923,603329,63004,154433,136704,57990,348961,1733850,1061182,589562,83106
1995:Q3,TopPt1,3221820,3252629,222558,178847,823190,12570,22493,792009,1200961,30810,15388,1420,14002
1995:Q3,RemainingTop1,4442140,4616525,591657,181255,1398364,153511,193973,1080213,1017552,174385,132785,10933,30667
1995:Q3,Next9,9457624,10142758,2106550,505208,1423926,2407852,822336,1021607,1855279,685134,556990,80552,47592
1995:Q3,Next40,9786613,11758364,4072096,1028628,665624,2654547,804200,597077,1936192,1971751,1492757,403242,75752
1995:Q3,Bottom50,1016323,2813374,1420276,611085,67116,157869,145771,59018,352239,1797051,1092418,613452,91181
1995:Q4,TopPt1,3324302,3358558,225578,177874,903886,13803,24268,796622,1216527,34256,15941,2096,16219
1995:Q4,RemainingTop1,4561229,4742250,607161,181779,1468017,162043,205779,1077215,1040256,181021,136936,11860,32225
1995:Q4,Next9,9724837,10431288,2140174,512283,1549036,2453084,841882,1049905,1884924,706451,564802,91005,50644
1995:Q4,Next40,9976128,11993375,4105721,1044045,724061,2676175,844814,610876,1987683,2017248,1513570,426415,77263
1995:Q4,Bottom50,1012471,2825953,1410614,613325,73072,161255,149824,61903,355961,1813482,1089258,636784,87440
1996:Q1,TopPt1,3366645,3403195,228547,180813,941183,15085,26045,795061,1216460,36549,16616,1806,18127
1996:Q1,RemainingTop1,4631369,4818120,626521,181934,1490431,170268,217391,1071349,1060226,186751,141490,11626,33635
1996:Q1,Next9,9940073,10669976,2186772,518238,1612221,2495620,860082,1072252,1924791,729903,578230,90911,60762
1996:Q1,Next40,10183178,12226258,4158676,1063203,764173,2695608,884793,623247,2036559,2043080,1545158,419353,78569
1996:Q1,Bottom50,1005917,2828928,1390146,618255,76875,164574,153586,64906,360585,1823011,1097364,638511,87136
1996:Q2,TopPt1,3410610,3450846,230649,173036,986673,16397,27548,797837,1218706,40236,17525,2175,20536
1996:Q2,RemainingTop1,4704570,4895816,637235,183367,1521646,178486,226725,1067422,1080936,191247,143827,12043,35377
1996:Q2,Next9,10100150,10859841,2206271,529523,1686191,2537898,867106,1098427,1934425,759691,596808,97475,65408
1996:Q2,Next40,10354086,12443537,4230512,1075385,807348,2714634,913745,636534,2065379,2089451,1576720,431780,80951
1996:Q2,Bottom50,1013140,2847936,1396140,617506,81041,167901,155799,67825,361724,1834796,1097327,653106,84363
1996:Q3,TopPt1,3403092,3446845,236383,169220,985208,17743,29332,798616,1210343,43753,18473,2530,22750
1996:Q3,RemainingTop1,4728252,4923244,651876,184464,1502688,186631,237364,1062626,1097595,194992,146035,12434,36523
1996:Q3,Next9,10225017,11014906,2239360,539924,1693931,2579346,877085,1122710,1962549,789889,616575,103831,69483
1996:Q3,Next40,10487600,12622781,4276002,1091813,830324,2732833,948801,649375,2093633,2135181,1609843,443703,81635
1996:Q3,Bottom50,1026291,2872477,1404472,619754,82860,171217,158710,70783,364681,1846186,1098437,667348,80401
1996:Q4,TopPt1,3508113,3554891,243506,177121,1042862,19190,34025,817103,1221085,46779,19268,3007,24504
1996:Q4,RemainingTop1,4834980,5034480,674497,183332,1547151,193648,260425,1065988,1109439,199500,149197,13050,37253
1996:Q4,Next9,10508408,11326890,2307048,538195,1784007,2611187,911598,1162890,2011965,818482,631621,111765,75096
1996:Q4,Next40,10659906,12839495,4276151,1106442,878132,2743737,1040983,666052,2127998,2179589,1638962,460262,80365
1996:Q4,Bottom50,1020243,2882360,1387904,622838,87576,174259,169665,73398,366720,1862116,1099584,685794,76738
1997:Q1,TopPt1,3483834,3533896,247685,179631,1051426,20576,35157,841011,1158411,50062,20108,2635,27319
1997:Q1,RemainingTop1,4852999,5056096,690861,183405,1539675,202021,267247,1072043,1100845,203097,151199,12447,39451
1997:Q1,Next9,10644903,11482979,2349743,543411,1805354,2653986,907823,1207820,2014841,838075,646379,109678,82018
1997:Q1,Next40,10765182,12961515,4297764,1123951,904712,2762487,1058306,683930,2130365,2196334,1663276,448188,84870
1997:Q1,Bottom50,1035780,2885130,1377535,626647,89835,177648,169873,75912,367681,1849350,1092563,681227,75560
1997:Q2,TopPt1,3682165,3735898,251586,170773,1258778,21914,38586,855286,1138975,53733,20982,2845,29906
1997:Q2,RemainingTop1,5109117,5316989,703325,184736,1741196,211470,292198,1073917,1110147,207871,153738,12670,41463
1997:Q2,Next9,11142079,12009903,2373580,553673,2102479,2705434,995086,1244153,2035498,867823,663501,114394,89928
1997:Q2,Next40,11101751,13339534,4368574,1133630,1016292,2787394,1168611,699771,2165262,2237784,1693563,455739,88482
1997:Q2,Bottom50,1075292,2935184,1398104,624153,101934,181313,180765,78614,370301,1859892,1092882,692390,74620
1997:Q3,TopPt1,3809579,3865795,255659,163146,1378218,23294,41709,874464,1129305,56216,22060,3082,31074
1997:Q3,RemainingTop1,5286253,5497753,713833,186349,1849181,220581,313547,1078345,1135917,211500,156234,12987,42279
1997:Q3,Next9,11502532,12408694,2401272,566515,2276714,2753755,1060739,1284970,2064730,906163,688891,119600,97672
1997:Q3,Next40,11364550,13652302,4417875,1148939,1090059,2809788,1260444,716761,2208436,2287753,1737282,464851,85620
1997:Q3,Bottom50,1106841,2989309,1424681,625045,109653,184897,189439,81226,374369,1882468,1104897,705285,72286
1997:Q4,TopPt1,3891212,3952246,261888,174661,1413347,24767,43091,910692,1123800,61034,23087,3600,34347
1997:Q4,RemainingTop1,5378795,5593073,741972,184766,1870321,228569,319591,1091096,1156758,214279,156527,13366,44386
1997:Q4,Next9,11734206,12673984,2486471,562837,2335188,2792317,1042271,1341035,2113865,939779,708687,127014,104078
1997:Q4,Next40,11486310,13820948,4442047,1165862,1128650,2824763,1272514,737594,2249517,2334638,1763644,479836,91158
1997:Q4,Bottom50,1093737,2979161,1397911,629834,113277,188203,188967,83533,377436,1885424,1094500,720350,70574
1998:Q1,TopPt1,4134296,4198632,267372,169820,1654917,26014,46882,914496,1119130,64335,24177,3262,36896
1998:Q1,RemainingTop1,5684875,5900830,760011,185836,2102814,239990,345961,1089115,1177103,215955,157128,12725,46102
1998:Q1,Next9,12334278,13302479,2535661,572666,2676512,2859211,1132970,1368826,2156634,968201,731931,124948,111322
1998:Q1,Next40,11886830,14245829,4520015,1180829,1253342,2860470,1390903,751492,2288778,2358999,1796894,468097,94008
1998:Q1,Bottom50,1157269,3032530,1416612,630910,126918,192367,200407,86437,378879,1875261,1091402,715010,68849
1998:Q2,TopPt1,4214058,4281828,274512,168599,1690535,28559,47908,936171,1135543,67771,25121,3699,38951
1998:Q2,RemainingTop1,5810921,6032103,786887,186482,2125857,263897,353857,1095975,1219149,221182,160251,13340,47591
1998:Q2,Next9,12604276,13609188,2612587,580654,2737252,2929050,1137491,1412803,2199351,1004912,753908,132554,118450
1998:Q2,Next40,12104373,14520729,4636706,1198105,1293110,2873597,1414422,769487,2335302,2416356,1837503,484253,94600
1998:Q2,Bottom50,1152787,3056401,1427353,633868,130658,195145,200437,89023,379917,1903613,1103010,733898,66705
1998:Q3,TopPt1,3985475,4056919,283781,145250,1451665,31184,46644,944176,1154219,71444,26112,4011,41321
1998:Q3,RemainingTop1,5605456,5830132,791944,191084,1871419,285948,342608,1096923,1250206,224676,162720,13734,48222
1998:Q3,Next9,12365653,13403033,2622311,609539,2423936,2984994,1033802,1445368,2283084,1037380,777235,138548,121597
1998:Q3,Next40,12088531,14556978,4749466,1216682,1217034,2877063,1335576,784704,2376454,2468447,1877901,495785,94761
1998:Q3,Bottom50,1214166,3136450,1521754,634175,121005,197524,188917,91859,381216,1922284,1112281,748640,61363
1998:Q4,TopPt1,4296119,4364731,297026,159066,1740731,31302,49469,942295,1144843,68612,25585,3929,39098
1998:Q4,RemainingTop1,6063434,6298496,835645,204396,2197042,302274,370687,1116491,1271961,235062,170194,14433,50435
1998:Q4,Next9,13197535,14251559,2755709,596419,2913006,3028451,1196613,1444921,2316440,1054024,790371,138585,125068
1998:Q4,Next40,12507679,15049396,4796134,1229068,1391567,2941622,1486617,794306,2410082,2541717,1926741,515910,99066
1998:Q4,Bottom50,1209758,3174124,1508294,644814,135821,197584,207567,89407,390636,1964366,1135794,768415,60157
1999:Q1,TopPt1,4237715,4302216,306463,149621,1702485,31518,49302,912777,1150050,64501,24907,3276,36318
1999:Q1,RemainingTop1,6128090,6373588,854572,221341,2190237,317034,376184,1122882,1291338,245498,178028,14432,53038
1999:Q1,Next9,13329531,14389943,2803402,602135,2951612,3057806,1239501,1420716,2314772,1060412,799403,132186,128823
