"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
1980,0.00326857367993793,0.000415783164509425,0.0196962124596445,0.0754460224185949,0.00201838546586897,0.0335012549338167,0.00473057216223788,0.009007511647372,0.0228973487194852,0.0192373600804153,0.0152101586557373,0.014477556550361,0.0121742366161925,0.0236099501573278,0.0250049817614998,0.00911977483495356,0.0184242032047679,0.0266489608103821,0.00811722518126659,0.0782546772099091,0.00362887919223921,0.02155004823257,0.0183011814785946,0.012137693079228,0.0596651159602993,0.0190829962121141,0.013060166733983,0.00650678452161067,0.0450483635911123,0.121237686388978,0.0409789881335146,0.0172513501749295,0.0161404971867594,0.000945947626090453,0.0404050484786269,0.0363767826784956,0.0650117523508629,0.0173065869699006,0.0178460867740669,0.00625729452174294
1981,0.00889263959089438,0.000792265367630981,0.014592596712989,0.0589995934666419,0.00316055094420925,0.0305961658626259,0.0190085839076509,0.00426982269730109,0.022384639711691,0.021654570110173,0.0717239491658519,0.0286630984697964,0.0162990491401926,0.0160645314160458,0.0299966695273559,0.010207543363212,0.00848718457956648,0.0433735367389617,0.00801031781452383,0.0599234445980378,0.00353354460289625,0.0270231086987867,0.031701056867621,0.0164556123073013,0.032896707997429,0.0420390166561634,0.0178331205375483,0.01097542978927,0.0549180408225219,0.0925136622046781,0.023581708036011,0.013598612626695,0.0272217707876771,0.00139695837517357,0.0336639854750876,0.00838186885865181,0.0489572909897006,0.0164935594729381,0.0191491576729911,0.000565034035506557
1982,0.00621870448672675,0.000424123940267125,0.014625133088594,0.0341173740975473,0.00363785601938173,0.028839733104976,0.0129440335168149,0.0031749335728653,0.0329408140990227,0.0227105617031665,0.0557358331859822,0.0348766197920493,0.0162963774544003,0.00577737281850982,0.0169808468184653,0.0206792651919265,0.0201888782147096,0.0423388169358482,0.0153748540073888,0.0506043100698683,0.0123136824510086,0.0281775168052559,0.0197057475146067,0.0137320659494124,0.062820084659877,0.0479502671534835,0.0308071490772146,0.00967823865801018,0.053174790529716,0.103927406825439,0.00975614323201336,0.016143148067713,0.0207063768844972,0.00499165760641487,0.0230516368398681,0.0243454582739762,0.025548814574907,0.0280911211384898,0.0256261136035134,0.000966138036072368
1983,0.00682147927105638,0.000527205232721674,0.0452435453045344,0.0510527136852438,0.00195769869730204,0.0268506921340477,0.0106481198271523,0.00167486243598336,0.0175254875524868,0.0256735122413198,0.0376046107516017,0.0254986338088282,0.0159889318617197,0.0205027916875821,0.0173780870116224,0.0184502577189902,0.0153387046264666,0.0339597044223542,0.00353442992633051,0.05438011161093,0.0138931775449957,0.0386730449973637,0.0168792102856715,0.0219128822163877,0.0472830106258828,0.0287128828168609,0.0252478174018212,0.0172838771176125,0.0590434127587686,0.100518783090694,0.017625039554466,0.00971317943928016,0.0325115766575795,0.00565521483209335,0.0335639137513082,0.0216637588128557,0.0276176435582079,0.0319947566600856,0.0178732257386125,0.00172201233117899
1984,0.00821834611701143,0.000379086091133456,0.0417877716779684,0.0526259829117328,0.00409045615706327,0.0287935400664515,0.00690035637494808,0.00883914862326409,0.0252845695194692,0.0114610277234302,0.0585117959169795,0.0488231558655479,0.0119075214562741,0.00970279857907827,0.0152514868436744,0.0148968590188537,0.0197268234387946,0.0422229854653257,0.00874156521311724,0.0302429379704078,0.0103426235710237,0.0271775902430442,0.0138106999187265,0.0146523104928081,0.0307521860813679,0.0259634487174292,0.0291721495773574,0.0174331243732416,0.0707664978059157,0.095445051797676,0.0186527741307943,0.0226281812433759,0.0209390183658209,0.00325309003736636,0.0504527959810702,0.0223089169522577,0.0389909212848017,0.0187677971204873,0.0177975811455878,0.00228502612932183
1985,0.00542432214332226,0.000402990676546383,0.0599632840890482,0.0420796924790433,0.00415317213233424,0.0310550884093311,0.00707270833203679,0.00445741190258151,0.0385534650421592,0.0203444827022208,0.0526214774431711,0.0166146836769602,0.00794127161671094,0.0266808397337963,0.0154298118223275,0.00857823162169766,0.0129907096947895,0.0389852805685665,0.0271768538048826,0.0380615313416406,0.00399774589444198,0.0273356320102788,0.0114692829542376,0.0132401352730542,0.0298505502246808,0.0254738165046443,0.0227545241296331,0.0197157718339325,0.0675204685652406,0.0779417445975362,0.0292255175988806,0.0204280037032584,0.0214500951171016,0.00295547059571498,0.0827766482227862,0.0084883607061593,0.0249541618814684,0.0211708169410607,0.0277156302728913,0.002948313739832
1986,0.00547993773299426,0.000440069863249315,0.0324294428060186,0.0385108794590376,0.00525334027201167,0.0429908498172421,0.0138872254065845,0.00961531336672532,0.0362399819340901,0.0157229113803529,0.0559598505302546,0.0236033337431475,0.00670761842689943,0.0159998202671782,0.0250040365398642,0.0166254600995526,0.0139904277608177,0.0394728139882834,0.00415047779929741,0.0275833366025577,0.00185040597936986,0.0233437214967893,0.0164351517213959,0.0157969675480896,0.0292178857716441,0.0349716533484745,0.0328827910237296,0.0245532579080373,0.0708417996924803,0.0738015209364049,0.0253216922974071,0.0171680759784713,0.0314417090625689,0.00393159404670414,0.0482456333118823,0.00716982867136003,0.0548492487186349,0.0338890293802964,0.0216537612680352,0.00296714404206521
1987,0.0137188150861668,0.00051311992994166,0.0330689507740415,0.0340273364526371,0.00398515709250545,0.0463559853414667,0.0114735007731044,0.00431881828613406,0.0196025932827785,0.0208925422766966,0.0426080991212786,0.0119496908251884,0.0078487349861915,0.0378712120702309,0.0381924579691095,0.0125211790398505,0.0240056950726282,0.0168459560923669,0.022119027332834,0.0417255566896965,0.00555689593289223,0.0258767270265258,0.0102077630234882,0.00979347719138428,0.0475525655344727,0.0568622350991161,0.0145807773007825,0.0190810938469159,0.0924649911734862,0.0680346090371195,0.0162625950971933,0.0114983928291335,0.0240587901112643,0.00333700030995755,0.0417214379325829,0.00872671527757932,0.0363193594003021,0.0430580787656376,0.0178405348219356,0.0035215317933825
1988,0.00740026398616878,0.000461225519651427,0.0137204052222211,0.0498172916445348,0.00258420735835554,0.0234214762403105,0.0137023207688661,0.010473276094651,0.0185428187697646,0.0254535558664937,0.0435819026446358,0.0282634699140935,0.0144763413506296,0.0174115265898942,0.0366780947419843,0.020152197445936,0.0203013691344026,0.0376962689358751,0.0126701522031225,0.0101956279428104,0.0194179029613399,0.0316807386980714,0.0122629412850815,0.0287180312585699,0.0381376547837465,0.0354952734197584,0.0135021081441241,0.0139886610147174,0.0708480451402835,0.0890733767530655,0.026739037100706,0.0108370394616707,0.0425577290285934,0.00180779341208383,0.0255731344332895,0.0197692313833026,0.0431270363212816,0.0358943265121646,0.0229549206663453,0.0106112258474025
1989,0.00515266449836464,0.000459670087244816,0.0218453523502038,0.0403570730940825,0.00233028973641699,0.0352052065710077,0.0184651629746808,0.00862741569928105,0.0282276757567994,0.0166415973843044,0.0591467654705426,0.0419339083659028,0.0104692865989736,0.0188579012766196,0.0326472791418112,0.0170549339501922,0.0250633129224641,0.0274841268789458,0.010175631399851,0.0198143480593234,0.00791215483504473,0.0334146622131736,0.0114727571429825,0.0153876261767971,0.0245989085857421,0.0369802229087863,0.0402984022125425,0.0213898757598893,0.0715248946852461,0.0868233865790145,0.0170129419166124,0.0110936640508581,0.0414625075948179,0.00156472000912284,0.0386927369629664,0.0136750090826305,0.0213856556653521,0.0343367109934015,0.02485333567721,0.00616022473079718
