"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
1980,0.00403750361847123,0.000488059185401092,0.0171151176813273,0.0764869678171644,0.0062397204877605,0.0244326969189513,0.00387594319363466,0.00567796081245584,0.0179699854870002,0.0164161482828165,0.0147486285333195,0.0135332374561332,0.0104136505139947,0.0188357112323738,0.00557082068745318,0.00227468130351179,0.0188263964504736,0.0188436532237637,0.00635762059566015,0.0347341639373068,0.0012924034447224,0.00759827927539899,0.0328992075746751,0.00458447385673429,0.0466435432802599,0.00701422415646629,0.0115640633267013,0.00695497265149353,0.0413182448024959,0.0764505043430747,0.0292852446631732,0.00349173664955523,0.00954995586654194,0.00798313603817044,0.0282314695465705,0.0219571334003713,0.0301151844198562,0.0141035277911344,0.0159217145314619,0.0156606916019228,0.00981842289004464,0.0151916097166647,0.00251571446467255,0.0034815470964861,0.0308166625731623,0.0239370800480185,0.0455112583426654,0.0142595991824263,0.00348252199503877,0.00825018546197814,0.0261725510520543,0.0135969722362291,0.0328775192335591,0.000551370191495868,0.019228091828062,0.000404724664879173,0.0148184588835392,0.00124487328198953,0.00271885264744341,0.00162360556983728
1981,0.00885179006959066,0.000522977834224708,0.0124881859998212,0.0642183633592217,0.0076627844583302,0.01841775848368,0.0147247285630154,0.00271458394727441,0.0118144052411837,0.015818489773983,0.0438396013145338,0.0275103370918947,0.0104232175357499,0.0132494782991972,0.00514293692106314,0.00458083480012125,0.0106564265801849,0.0317879268029761,0.00763051043062955,0.0420206104715317,0.000854908533495511,0.00811565227182534,0.046712922144837,0.00623206837532149,0.0292605951575034,0.0172067581589659,0.00941052938287597,0.011623729659222,0.0470837565498424,0.0582304040590563,0.0203466884158383,0.00384670582747704,0.0193343839488117,0.00755121885922421,0.0290064550837985,0.00461820787310854,0.0188110137307582,0.0107933208867892,0.0140916747934036,0.0102362874211337,0.00675600472835655,0.0183545359585783,0.00414732097732035,0.00986782294328305,0.0231661123004057,0.0237107153968814,0.0177382155607169,0.0169338747358688,0.00203573020777783,0.00752595521672643,0.0132237678695392,0.00510833114001076,0.0640753911648455,0.000725440513737081,0.023470623283982,0.00115216813569362,0.0179493375658575,0.00187637200471881,0.0129618740103155,0.00177717717388913
1982,0.00630428252468729,0.000378471888254016,0.0123510425047525,0.0332617306542669,0.00721042695765194,0.0168337176507143,0.00871193788065619,0.00223129689998808,0.0135075699111073,0.0204244973822988,0.0406225899878506,0.0341835410875259,0.00757729474870076,0.00414651604361703,0.00352538321133037,0.00981979943162018,0.0182015548211384,0.0298932255285417,0.015348427661666,0.0404084927684775,0.00366347173001559,0.00949918370699555,0.0334472982930041,0.0074331397147717,0.0568770956378152,0.0234115273477658,0.0142955776050311,0.0124645648297786,0.043613757143887,0.0708793716926265,0.00742339068677318,0.00763183308392808,0.0169931189610448,0.0125341725897828,0.0200475960048681,0.0219103486039233,0.0103568073046952,0.0243858656079814,0.0222279407264335,0.0124008772895786,0.0125128421020489,0.0149793654530966,0.00348510467099439,0.00869813501906834,0.0184813890184573,0.0297523784471327,0.0119137448985869,0.0113453516355389,0.00239891784164419,0.0109451061759109,0.0153360825211056,0.00173392494143858,0.0399749333502182,0.00239458836475535,0.0225888292743838,0.000239193258386298,0.0248590351361981,0.00213466464383455,0.00820277112560023,0.00158490401605451
1983,0.00691973595165471,0.000777913165659075,0.0388594395068231,0.051241197990772,0.00700373161571821,0.016313886924012,0.00834245383615826,0.00180676605760279,0.0113656130313073,0.0225107261520243,0.0222821486957346,0.0247106652906353,0.0095815483504042,0.0188730987523711,0.00234874318184139,0.00652924752664319,0.0173030378258461,0.0208174019910701,0.00311566711640964,0.0418637426694732,0.00888168245906495,0.00861547465045431,0.0473309962011814,0.0128946190349577,0.0377848693098922,0.00429441440032001,0.018851374863608,0.00836337896871057,0.0483413118843519,0.0613318195276417,0.0137695576982791,0.00221788378328655,0.0245486758694894,0.00593633674952892,0.0277544128865515,0.015480493275271,0.0127091399966565,0.0214717272844789,0.0277649836689695,0.0160436310369861,0.0108517890360488,0.0186999542526766,0.00392859088901872,0.00300165468418012,0.0165542351060121,0.0162404376142985,0.0164273755570295,0.00560504163579746,0.00172079892948706,0.01649389524448,0.0116475164235424,0.00712495237104195,0.0442757588980864,0.00520137968068518,0.033960623507996,0.000188765930024881,0.0190618964476049,0.00182319545108864,0.00849132862143752,0.00174726053762257
1984,0.0081186533134466,0.000419355047358248,0.0341251921165631,0.0505484943839193,0.0055956958702931,0.0166411063122821,0.00524518868608984,0.00539924799404803,0.0138768177731993,0.00759543999574824,0.0394329768193387,0.0434919149444978,0.00702210023891095,0.00646083347729671,0.00367830450914015,0.0060566197735757,0.0194998290899595,0.0317225145980056,0.00815757264511587,0.0222039173666534,0.00351473353231746,0.00919386607971985,0.0205793289984958,0.00787859284755599,0.0339561281007346,0.0104314724623871,0.0214157584553953,0.0109395631301948,0.0586259659895453,0.0691699314370359,0.0141884361631516,0.00318922816499026,0.0146016202818139,0.00777518779094649,0.0421720453720639,0.0172066923621022,0.0167997366462405,0.0125393785337598,0.0203335226486004,0.0161496326727262,0.00573574274918885,0.0185162953716756,0.0024206318704162,0.00625187713825584,0.0239398921033517,0.0297377341538192,0.0114576344245252,0.00974719016882642,0.00545679246701264,0.0194732442163934,0.0174713818353436,0.00887311007906513,0.0373826499073019,0.00280940306910681,0.023801868167731,0.000256444726729197,0.0181483425498443,0.00276436061183283,0.00804072120460676,0.00176208655975386
1985,0.00543862949364741,0.000676763791638307,0.054138148124294,0.0430835459409134,0.00594534954961343,0.0185961056529503,0.00486772418853352,0.00253039920828166,0.0114107827529412,0.0147900482154727,0.0349652144504756,0.0148744893224129,0.00431999263038424,0.0252278794949697,0.00653405801105083,0.00261665028222676,0.0140326076738465,0.0263392775305646,0.0248947379982614,0.0264340064284541,0.00168584876680025,0.00687872378325841,0.0209235411962491,0.00910634222495588,0.017504303369603,0.0109390455373688,0.0178122145609787,0.00606115700884784,0.0581800984638886,0.0498137993537418,0.0231988316227045,0.0036209074954554,0.0147819211935564,0.00939591816596859,0.0737182378847467,0.00441023602494617,0.010398477324554,0.0174593506307577,0.025390059082112,0.0147503089988837,0.0137694901441041,0.0186686089835324,0.00364842912655338,0.00709157074663777,0.0243866613002025,0.0398785276915613,0.0152272940517462,0.0163065040045276,0.00318257436615415,0.0190020096321743,0.017341283269284,0.0044796015488264,0.03220982999541,0.000739582702678044,0.0249761450800168,0.000247020445177214,0.010376543618142,0.00206456227858628,0.00667202303894315,0.00198600454543229
1986,0.00578534193526563,0.000531678869824976,0.0283975689539677,0.0460811665561047,0.00749916972997903,0.0278426634847106,0.00925329161670998,0.00699212332850619,0.0194263533973066,0.00883806205891004,0.0412032172300978,0.0217370251182838,0.0039155735383366,0.0131350694892545,0.00667803022154769,0.00716149999500469,0.0170371891735378,0.0238030701047116,0.00383648492625235,0.0208995095870561,0.00110461650606946,0.00825302162452682,0.0287284738072216,0.00658056873240885,0.029024715361826,0.00701955201760885,0.0179152911835751,0.00628247988514681,0.0582215621672966,0.0504887555730137,0.0217515883054164,0.00456675686696809,0.0236223825446504,0.00902381187354214,0.0401932063601109,0.00373549227312792,0.0268931464429461,0.0291784824448572,0.0164795511328518,0.00770003502775321,0.0104330814626905,0.0155352452573775,0.00785033526986327,0.00920253578194678,0.0291645014042509,0.0322440263370049,0.0082092181631776,0.0192216227331905,0.00709481599941638,0.0212938741762479,0.016132736093227,0.00479596630018263,0.0476658289848199,0.00176486615272542,0.0207721604867963,0.00113724704191142,0.0213310637633333,0.00183525029465485,0.00557877957268355,0.00191926527821328
1987,0.012403201495052,0.000435374419679929,0.0270760963528938,0.0319843801532676,0.0048655979917941,0.0312064257829777,0.00921140389713266,0.00273003398459049,0.0143131117629451,0.0146729472946349,0.035129858964042,0.0111785308657024,0.00528123308373937,0.0339105426803255,0.0152395501654782,0.00495601582981468,0.0224614450207323,0.00933459536309954,0.0206069369588879,0.0315587704104802,0.0035312072317619,0.0133209200002899,0.0251728101236208,0.00641918389760379,0.0484183059778785,0.0181328122289015,0.0101193965428698,0.00507296074753169,0.075230580765657,0.0450676337299641,0.0140734246405421,0.00312402296653159,0.0197103821527978,0.00626842342954854,0.033148521511442,0.0043803606729387,0.025990461374313,0.0342187351936976,0.0148852463112176,0.0125680311707871,0.00839664379087514,0.0168238162117901,0.00246276764107459,0.0187950536279076,0.025273719880078,0.0203694431104659,0.0154199600635346,0.0152916278361896,0.00508967984730154,0.0212333217456172,0.00861944892781954,0.00325681103700839,0.0347498006783115,0.00129182769633146,0.0224205287915351,0.000295839590529144,0.0110882947913893,0.00107274483838896,0.00868454167844272,0.00195465506824413
1988,0.00665311234961885,0.000437998612735002,0.0116709623544785,0.0481500014342449,0.00657599295229133,0.0157198674309558,0.00861988658503556,0.00639251265642646,0.0123126107870266,0.0190948008998834,0.0236717957532907,0.0244334214019951,0.00980009426895323,0.0119400027700454,0.0059179838856053,0.0132841175936231,0.0200265251311537,0.0248999501234333,0.0121276349779074,0.00673030982477944,0.0113020849580852,0.0102129863214336,0.0225490340683305,0.0203128261240489,0.0358699040517748,0.0170744372306542,0.00621735802198925,0.00748759982407354,0.0531227390544554,0.0588365080850553,0.0190741758400719,0.00513688927358296,0.0330626958776075,0.00520582187675979,0.0165708480645386,0.0168251851880054,0.0236140231341949,0.0286137482426202,0.0248680993981456,0.0209253544330808,0.0103744222904063,0.0166957597146932,0.0043654220334193,0.00677899368871245,0.0235608727164682,0.0193123963472162,0.0131162302118558,0.0173866793392167,0.00709412854054924,0.0121287026189127,0.0118390119041154,0.00544814951756634,0.0649028297718166,0.000993265597465311,0.0268626036773767,0.000356361399574049,0.0211652864175059,0.00314894929885065,0.00685283897443141,0.00227519507785611
1989,0.00468075963825301,0.000411012386557825,0.0180398891218615,0.0322411508744484,0.0053810021194064,0.0220970962272454,0.0122746218939435,0.00393318082968397,0.0232681274476115,0.011286144129904,0.0233701241235492,0.0401850444386855,0.00977395943813855,0.0159578500224824,0.00356984106686472,0.00654805890681338,0.0240209766500828,0.0150013875650434,0.00972580695049191,0.0167906815675295,0.00396614939887584,0.0100573648042974,0.0170130939988251,0.00924769015143337,0.0220361131948588,0.0264920057901268,0.0236508797784145,0.00657048722374856,0.0573308068075167,0.0587672196242824,0.0130391654142365,0.00548899602598228,0.032956814280353,0.00970987669865986,0.0367913374119925,0.010248023450797,0.0113620792313017,0.0273905647110857,0.0162784730246897,0.0126348754279419,0.0076112454856806,0.0199790807579492,0.00821511584828083,0.00460588301222902,0.016613282292742,0.023056032489477,0.00593427801403696,0.0177784241616806,0.008082237921174,0.0200119270790093,0.0106398374067816,0.00519847225269071,0.0612013581374053,0.00084389707373339,0.0254943405613445,0.00031506511934056,0.0229296365554807,0.00167420245308196,0.0242417822696516,0.00598516926021389
