"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
1980,0.00623860716562589,0.000412657511209981,0.00386799843334623,0.0555870866302137,0.0388139286497854,0.0128528547780039,0.00544318577225624,0.0113140325907247,0.08521677508761,0.00565047567615693,0.087633707205664,0.0691454626360529,0.0101853733515431,0.0634013044344785,0.00103704510842309,0.011880381182698,0.002966455813032,0.0123794454829774,0.00862439444477625,0.0171712593351716,0.0055274197245736,0.0483368102210211,0.0735272310545754,0.00561066283786758,0.0660410071927396,0.01833898696835,0.0154706832883994,0.00703481800017867,0.0103430323805473,0.0799378065943742,0.000925412729854335,0.0869926298457239,0.000692033318272948,0.00325595938285779,0.01274203464895,0.00111276290553486,0.00747767886200169,0.0102343780696891,0.0175639286412895,0.0190122920434493
1981,0.00876672190412581,0.000367414570168073,0.00817708237735149,0.0704189258574782,0.118391827815211,0.0109359097024174,0.0100475884044427,0.00846262358617083,0.0938047284252528,0.00470967237189617,0.089064786631804,0.0981969624588765,0.00452683665191262,0.0219131916983557,0.00440752145367652,0.0130215283370367,0.00766088834923879,0.0237307461348973,0.00993913257073977,0.00903964579015809,0.00715612637400409,0.0307063371121156,0.0246455813527219,0.00807976454704704,0.0429274415717985,0.0118365618550752,0.00492895584443522,0.0100488493717387,0.0150872391006705,0.0677732718869875,0.00613323129810363,0.0702644825272046,0.000662550043274336,0.00888773705817413,0.0154629724137834,0.00240445806145709,0.0140928541472827,0.00739743230715271,0.0119445273688683,0.0239758906668942
1982,0.0102158158734568,0.000467554491093232,0.0318592758186217,0.0477496096195333,0.0260440953318438,0.00777152602342077,0.0117034018125233,0.0170765582260617,0.0580610557508367,0.0042918692550259,0.138988342067926,0.0638715845051923,0.00669609987356746,0.0293117358726053,0.00162246972047277,0.00946212907919344,0.00187660369260894,0.0217268870284265,0.0360816666598109,0.0105949634393523,0.0134940338060503,0.0275724412984718,0.016707277074078,0.00818070779719052,0.0669815977918295,0.0349722167963114,0.00585110374565536,0.00492657311695989,0.0245107535884932,0.0470277021185383,0.00307917472379027,0.0923246391520951,0.000362876449426192,0.0260715011832711,0.0297217770188889,0.000755186425411513,0.0130573045990282,0.00893520001037828,0.0177399739447858,0.0222547152177734
1983,0.0102850028782922,0.000524791389321135,0.0911599739778035,0.083900369999517,0.0230918041613796,0.0126840864458182,0.00361939974431031,0.011860608037569,0.0830633284300568,0.00287231278467389,0.0646354195342613,0.0725370204934,0.00623416996551112,0.0184183879373837,0.00420538129614849,0.0101247122474957,0.0065816432420955,0.011239412302591,0.0436367960889991,0.00752077955833835,0.00768561558836244,0.0256491968671529,0.0194631656906054,0.0247629252538557,0.0422150717667936,0.0100226669694195,0.0040981469401532,0.0152856330297757,0.0234783605723769,0.0189533309994232,0.00243354450437516,0.0993385723671988,0.000259735791024965,0.0159464431749004,0.0673878050723318,0.00110837457666881,0.00593652644250606,0.0151476014379264,0.0198516268735509,0.0127802555666322
1984,0.00646780801823272,0.000453237764902068,0.0453265138565569,0.0300270500476087,0.0211890957806088,0.0111493014406787,0.0152964582440863,0.0503130014124615,0.186812665148807,0.00404953934448369,0.0750021751479648,0.032141483114422,0.00249453594321669,0.0306921824324006,0.00218587061627893,0.00401521736511448,0.00383216052920144,0.00965690337841649,0.025806081838057,0.00538607292569786,0.0213099446437569,0.0272674788504884,0.0160269066334298,0.00397533115742643,0.0220358961550157,0.00946633537851497,0.00329857219619001,0.0066932694390795,0.0173199420425493,0.0427044001120087,0.0105958738925652,0.0811722275418348,0.00143831668382496,0.00977284309324384,0.113645516244938,0.00223298392082422,0.00290312871448467,0.0143575431304447,0.016452352688849,0.0150337831313341
1985,0.00822148357790211,0.000560926726509987,0.0565128560144309,0.0408931679852483,0.0347567563184963,0.0101413191274039,0.00962850403362606,0.086802703414929,0.115325718734548,0.00511599496856535,0.0185554197373611,0.0211038155593927,0.00352628769784294,0.0124125386778699,0.00185511557837121,0.0113766679245567,0.00274292874105228,0.00659249212467394,0.0210050463482487,0.00674523463928344,0.00896096639705562,0.050421379778135,0.00990760520076078,0.0122920011876313,0.0204390772427821,0.0248375565922279,0.00642444228189029,0.0115669052233886,0.0177592694852667,0.0101406294172854,0.00849763599128955,0.0647927167548827,0.00043555319844931,0.0134719696713464,0.23130154092222,0.001284130437654,0.0051496321935442,0.00665626177951744,0.0128464828283323,0.00893926548602721
1986,0.00453654783029499,0.000414189479930745,0.00306800644096996,0.055343642929006,0.0528927762058882,0.00730744182811988,0.00896664851731161,0.0522159807563695,0.10077029423257,0.00375667857827613,0.123168187489589,0.120919366670053,0.00264933708540832,0.0191853297078137,0.0266566950781381,0.00868929255958349,0.00175276407984908,0.00882371390808281,0.00243543409915826,0.00333036876097774,0.0114892698399156,0.0458849624679983,0.0184482110798732,0.0244407338064769,0.0421403328941358,0.00923223291221063,0.00775080224853247,0.0046124697263157,0.0142672370765146,0.0271674383439387,0.0172676907500244,0.0729306343033917,0.000607721933803175,0.0202605437850182,0.0263668304112557,0.00136440215939654,0.0151408768126548,0.00620393263691717,0.0150575922318016,0.0124833883424348
1987,0.00695732183757512,0.000460853644210153,0.0122925793545653,0.0234856492839468,0.0237105909396357,0.0202406384159211,0.0122561752641447,0.167777929930543,0.104064150307242,0.00361035387926946,0.0754929136027504,0.0192144902742951,0.00363062594687122,0.0244369233569097,0.00186799554606493,0.0205071234023084,0.00307046089304955,0.0185895717792119,0.017990423619412,0.00209671507181382,0.0157739997237116,0.0267714191562387,0.0378996594628309,0.0401804279206016,0.0241052115453244,0.0135521098235058,0.0199427424911814,0.0109921353276571,0.0262854141916854,0.058087566334423,0.00500909866608728,0.0551910103179344,0.000679584386929435,0.0202655072388818,0.04968446805252,0.00130524061296978,0.0090187413852072,0.00243434941370184,0.0105136428783393,0.0105541847205279
1988,0.00587994249859334,0.000455783749241512,0.0674311241293371,0.00940987836486719,0.0141680605905609,0.0522851004276425,0.00210128455044777,0.0299614460037204,0.107387171124377,0.00190876688537034,0.0391573384246936,0.0185917549151027,0.00664408638969299,0.0180095759050832,0.000769664127399539,0.0179996558777256,0.0137080404971071,0.00490481721525622,0.0104630874444349,0.00430743140511323,0.00894475956091225,0.0463178563142403,0.00782816636637435,0.0277119554078809,0.0139200075289817,0.0209382714403382,0.0062363664230814,0.017575669504392,0.0278845363235661,0.0385867788625504,0.0121467221371391,0.0512436276773449,0.000516227450958649,0.0166871332521175,0.243270041050459,0.00107407714282658,0.00702128736547465,0.00741802976299999,0.00853695852329043,0.0105975173793045
1989,0.00664848434798137,0.00046433382757415,0.0176254762523733,0.0345586238989048,0.0335363255968252,0.113268912533,0.0129690488741698,0.0634058735888176,0.128712034315387,0.00605055650645703,0.0377330896835869,0.0552134531463999,0.00731400745974954,0.0224372188979599,0.00223630903222277,0.0168005370569708,0.0108719213168467,0.00696395508039146,0.0162851274899748,0.00489531508166376,0.0154605323423312,0.0301134467728666,0.00419588728052172,0.0160751973659809,0.0215508751535719,0.0228039772386266,0.0145876924207089,0.0165574626054093,0.0278958101353344,0.0177861202218389,0.0158568753061349,0.0680828850673776,0.000545861911009972,0.0322234085180678,0.0354825422812201,0.00198382549849346,0.0246703552942048,0.00485170106222456,0.0141741875215545,0.0171107520152642
1990,0.00521462821767982,0.000457253319552741,0.00521115556824183,0.0344855169549708,0.0535336438064761,0.0085998305972093,0.0129302290422346,0.0625611754924933,0.197544273607515,0.00755794159062782,0.0327887039238215,0.0594705856476599,0.00353300412835283,0.0322486302286197,0.00184756311412784,0.0135973370802185,0.00387558430751659,0.0101868173265496,0.00304642683468125,0.00685558493541654,0.00717353724676923,0.039807808290241,0.0306420032459919,0.0143504182290042,0.0172608631836874,0.0180944786362638,0.0172284352636004,0.0129400406406096,0.00890921828151347,0.0989828577417022,0.00553357125641155,0.0713650226094802,0.000554246007376917,0.0319859259648746,0.0149898752873561,0.00263840572046918,0.0154654351350589,0.00739762753146994,0.0137785060497132,0.0153558379544402
1991,0.00905778214801278,0.000554186403009712,0.017639765350115,0.0241101244592083,0.014387387801809,0.024265845205718,0.00744090891314948,0.037760120767084,0.121511942803824,0.0145504316317414,0.061247723343486,0.0452043046483792,0.00779489641451629,0.0196797092041339,0.00183727637160233,0.0067996400024933,0.0127201783188264,0.00743088227459622,0.0138973980573492,0.0108140908171782,0.0202204886472251,0.0714886119691294,0.0107456206204175,0.0134015982517567,0.0409291867673296,0.0325235555603258,0.0183325203030451,0.00841365899696867,0.0333209780181585,0.00762015474992811,0.00964866778605997,0.0747024186280156,0.000936329655185374,0.0190576267521806,0.056696234052832,0.00747350953781882,0.0358861201881947,0.0361123200062833,0.0221879969484496,0.0215978076244627
1992,0.0080943878801107,0.000734665889751033,0.0224991515756818,0.0200854514629344,0.0346699848692044,0.0114098516927449,0.00351260983718085,0.0480184951009199,0.0302044459265583,0.00728809430783811,0.0372840531433553,0.0369632792588335,0.00757176513471754,0.0460097172207439,0.00130429590154011,0.027361466035399,0.00481845536655118,0.00282290017467519,0.018790171094906,0.0171204577666361,0.0115006867050285,0.0679919779170606,0.0133331314104811,0.0402062727380224,0.0725256259220732,0.012546183670489,0.0146975192949763,0.0244411250947741,0.024341655294966,0.0106638839193199,0.0082417945137888,0.115769159553448,0.000704568267898322,0.0328761362843094,0.0365643894552215,0.0167110807230396,0.0479738125746188,0.0244563616722522,0.0169546761464333,0.0209362592015162
1993,0.00360331024482702,0.000402625119123422,0.0170308025783282,0.0122962030192372,0.0752343781403013,0.0531206541082219,0.00386958153380606,0.0527923466598101,0.0423978165268946,0.00468373499625959,0.0616520344759,0.0221331450052834,0.00692899215686251,0.0236374205101476,0.00511786819521279,0.0158268931246403,0.012861033164084,0.00399441642933566,0.00892829145274293,0.0127682310527275,0.0112763185894772,0.05183990947402,0.00523871689654191,0.03877644251209,0.0310071750363015,0.12296714621759,0.0185224435721126,0.0192162741195036,0.0271421900238306,0.0354972577071701,0.0154284205375683,0.0337475289169054,0.000723329757547937,0.0428469632793977,0.0356387851722545,0.00635975764364667,0.023967744807481,0.0062150882313231,0.0127895593952156,0.0215191696162765
1994,0.0157045274268766,0.000518846220143365,0.0139903637508133,0.025242214830327,0.0502563357718047,0.0140615406487577,0.00203134829737877,0.0177373171528709,0.0781859424648568,0.00339320140474698,0.0555703183637673,0.0145225594253947,0.018751681507971,0.00315354926946227,0.00706287077606983,0.0570778158887574,0.0077757115964743,0.00270739298034682,0.0153858370674949,0.00281757259234728,0.0184620299966174,0.0747270037664467,0.00509591687064843,0.0264238434386941,0.0290293879446815,0.0204290112987582,0.0215764284670844,0.0317236901890663,0.0311133143279024,0.146064998043105,0.00150163174870873,0.0493849558690091,0.000660669958744456,0.017731320774054,0.0135171397303012,0.0147294897917632,0.0328434171735658,0.0272117590161771,0.00897179725483649,0.0228552469031736
1995,0.0099118503923043,0.000470986472830578,0.0215584545188349,0.0261420395459941,0.0991073733009141,0.109200053863429,0.00961124303648952,0.00854504631385362,0.0316660633895996,0.00409967905703127,0.0154579746971014,0.0385853898629057,0.00708948597773165,0.00820420359004952,0.00572774249159127,0.0415893000894551,0.0121543020614043,0.00806062807734143,0.00811247064932716,0.0113221594356484,0.00784345661634498,0.112747147870174,0.0145980685517896,0.00865959843684299,0.0205819373625827,0.0166915158799149,0.0172770513350009,0.0405079750828523,0.0373353050462476,0.0203202611807708,0.00894875693337176,0.0577386681506755,0.0016156827752542,0.0250647639355835,0.0127885788090462,0.0296111880419331,0.0573874752521947,0.00704171451644712,0.00906542058424181,0.0175589868148942
1996,0.00733800945974065,0.000354509072241426,0.0443976817990454,0.0306570430729553,0.0430135081636751,0.20671754421741,0.00467694952038734,0.0181017589439171,0.01827553454996,0.00296433849358896,0.0185879846131451,0.0294510906380646,0.0174838262499392,0.0121000752974404,0.0106072090037749,0.0135574859915375,0.0121111911728832,0.00522525544864267,0.0187210461887439,0.0100191192776262,0.00851170770955688,0.114663832264942,0.00699295259389059,0.0105024567569242,0.0394981002852554,0.00617588224772506,0.0117543392865876,0.0245414348198058,0.0561735558009468,0.007253615417656,0.00637950905935172,0.0483109655338147,0.00212513896834701,0.0124934563490316,0.02340886786233,0.0288991252217158,0.030941860913247,0.00699001305051323,0.0100463090591148,0.0199757156245254
1997,0.00778017796398334,0.000593357395459375,0.0969528101499465,0.0326863056036765,0.0554152768319795,0.0163923035897903,0.00656285265585484,0.00653410833894721,0.0409133514769363,0.0061791612474735,0.0148831396638564,0.0581448260222488,0.0289642457960905,0.0110363148409637,0.00310841409772242,0.0210643260291776,0.00586461029789824,0.00612220712838354,0.0363801583587557,0.0112105099224995,0.0234267198147918,0.109029270061611,0.00973153056733916,0.0132252521435601,0.023075177839866,0.0448383497719669,0.0102421654054666,0.0210477681330777,0.0231462400916715,0.0350644367293204,0.0127213104883794,0.0441936363859548,0.00242040593624445,0.0229686382636753,0.0298733943104726,0.0148185076165831,0.0260551165933852,0.0412745549243729,0.0117811855111931,0.0142778819994244
1998,0.00556523468273246,0.000488599022544424,0.0502090424894781,0.0279722781273063,0.0208689668693197,0.0729942886529229,0.00886275414188606,0.021980274388626,0.039567456370963,0.00921033635015404,0.0361588210466824,0.0156698162841881,0.00710874064316749,0.0269296896142483,0.00820131514572877,0.0107454814815093,0.0294402865951523,0.0137740935484802,0.011046204577818,0.0639117937321411,0.0169421733759335,0.0672811729345485,0.00863541448148436,0.0151411647836056,0.0213334946949308,0.0416575834015973,0.00779024170189896,0.0317368157126419,0.0290780968029796,0.0668801281766221,0.00229579318780756,0.073372248301459,0.00123262188279378,0.0491838601550323,0.0201917818068609,0.011614690118802,0.0167217016445233,0.0065187535759286,0.0201789966128517,0.0115077928826491
1999,0.0038683193819846,0.000456905388861806,0.0501805219307097,0.0459496279011338,0.0157835109685203,0.0360980564673613,0.00375833036870385,0.0246519028766677,0.0459138096353665,0.00370980208582526,0.0247504150980219,0.0219314395706237,0.0154202433436325,0.0241355020047541,0.00605782994014113,0.0278083638960149,0.0100965256099726,0.0091714929743536,0.021303385924383,0.0090234467667335,0.00881295154971366,0.0679244453073407,0.0242646496438438,0.0190716766441593,0.0146588801828292,0.0145719452674857,0.00968757833934431,0.0276520194110352,0.0279251419406495,0.229944402358994,0.00309245559640931,0.0430268022973084,0.00120127466228295,0.034815529201606,0.014252238396788,0.00587902958323876,0.0158054345375912,0.0121308086836481,0.0125761961601691,0.0126371081017975
2000,0.00413023998468026,0.000403203815010301,0.057063670469969,0.0303320781906779,0.0173014054519455,0.0439138092833527,0.00772488713185612,0.0673114050637693,0.0285969713230079,0.00366240199511972,0.0155425025383697,0.0656503886099757,0.0169851311054398,0.0397030587581288,0.00522977117860593,0.0279516823068896,0.00643370516124225,0.0130040153349848,0.00997663638320426,0.0119380573249755,0.00926433963443296,0.0616365713480571,0.0202794395177357,0.0180470634384191,0.0209321993831487,0.0345880959598117,0.0137226949884659,0.0276757518327892,0.0367273320323063,0.0633037375840236,0.00184996254302017,0.0569789814196164,0.00206006736111188,0.0718170410983145,0.00832554908463772,0.00869560676389348,0.0390756906689246,0.012614819679302,0.0126930973182084,0.00685693693257537
2001,0.00317600503680356,0.000354575613562969,0.0938849318743003,0.011979815498282,0.016680301678385,0.00839508761272753,0.00549000990655807,0.068276210939547,0.020346490034328,0.00388940967072597,0.0103787218329301,0.0337424863167705,0.0403397089227506,0.0366550045307076,0.00310318531487521,0.0139242786596589,0.0193176550116037,0.00377893696418718,0.0191328114481782,0.00787385485420137,0.0231652140816122,0.0595998796828885,0.0256282842250623,0.0337490235620935,0.00606340680590332,0.0196936087104723,0.00865622215952108,0.130318325308597,0.0329720891935268,0.0607021096808641,0.00884609273449435,0.0548544429631909,0.00292228132685436,0.0469643326208905,0.0138091150680291,0.00829514016694424,0.00849177253973508,0.00767483904250944,0.0154128811173862,0.0114614572883414
2002,0.00588191108748008,0.00038580296952614,0.0447605354448654,0.044948855456197,0.0163546443316137,0.0123670750199687,0.00807557945080879,0.12708088594059,0.019461270477048,0.00164363016896807,0.0200981192390571,0.0186102750524173,0.00408349662179449,0.0138936708708298,0.00177386238843511,0.152548830630368,0.00919912967081802,0.00617772603069807,0.0247481654378937,0.0103846884749636,0.0130660772822225,0.0728314897176379,0.0205698395294122,0.012800007184189,0.00944310953440978,0.0298730118851477,0.0113549977125856,0.0105459278027562,0.0319604904549337,0.081738651652858,0.00140321671166514,0.0480478676736885,0.000874033811166899,0.0204032938340106,0.00756288398031489,0.0212434048971507,0.0117315777702556,0.0351117234883845,0.00873777404931529,0.00822246626355425
2003,0.00313498844604896,0.000405243692906212,0.0271887872269797,0.0207620666454062,0.0367332177098328,0.00990330192832524,0.00596814933014599,0.0788224009507958,0.0319586249189407,0.00353624671616233,0.0084810741872625,0.0428986185236512,0.00821564091879014,0.0642469890762845,0.00284527940369757,0.183792732813393,0.0148391642073121,0.00314307492907204,0.0113435779451454,0.00492629935819288,0.00929799963999728,0.0619331890758104,0.00416409587942069,0.0301210926915213,0.013285031338611,0.00446139201807185,0.016281486625243,0.0428715686736546,0.0249694545801189,0.0726733161705381,0.00485800421205967,0.05652521925984,0.0020298058331981,0.0255135372780803,0.00624994882209153,0.0161848703022168,0.00980480578602704,0.00578633915046775,0.0192007286940635,0.0106426350406232
2004,0.0111967432131294,0.00046816412657071,0.0340163731182994,0.011304890899634,0.0122991300761109,0.0303979167462937,0.0096304359734958,0.0176404167711011,0.0627126529878411,0.00630050420234209,0.0183096283201593,0.0452827486051065,0.0127708989994848,0.0095725058532452,0.0132156662168392,0.0663148870613674,0.00817867595061674,0.00476045673968104,0.0184859468175671,0.0136215397891529,0.00528357243327568,0.101396384719992,0.00560362112831728,0.0482402911437489,0.0344611823064715,0.0215211895708125,0.0183683780329921,0.0288374075212287,0.0281909130991099,0.126636438948741,0.00371907627250886,0.0415149371339496,0.00152174455561854,0.0188945911977594,0.00616116495348143,0.0188214853133185,0.0303323865173825,0.0198040567422257,0.0108232743776112,0.0233877215634163
2005,0.00613457190270513,0.00045446576673776,0.0516499685358657,0.0543559801465455,0.0507256197641304,0.0190419086353737,0.00671160854825359,0.0126213023950745,0.0181634694524388,0.00658505916166932,0.026475077323128,0.0242384405736527,0.0066234517186713,0.0223367436087608,0.00487553602859103,0.0388611059134052,0.017391849027912,0.00918555888611415,0.0120721734466861,0.0312072161539633,0.0124561669017527,0.0634508313894784,0.0278154942613415,0.0289721772325558,0.0129971819639854,0.0460281538138223,0.0180995244802229,0.0203133492606016,0.0436724065259547,0.127474557559094,0.00689516712238606,0.0481131051854895,0.000861645106358066,0.0348689682393052,0.00500128548062694,0.0178335038610334,0.0235649104602455,0.0191449230469278,0.00990819058023324,0.0128173505389062
2006,0.00444139825595437,0.000475835255876044,0.047294460523839,0.0176316134153339,0.0414737686165172,0.0669901309864657,0.00604237007664062,0.0458854635193029,0.0237986963864605,0.00765084663821569,0.0154418062327469,0.0661897093839662,0.00894927731875623,0.019340424060655,0.00837475785993639,0.0206399696383794,0.0252792562191749,0.0109134503891477,0.032677551858567,0.0123298603249617,0.00878553822000379,0.094572538378102,0.00904033687669813,0.0603789362313185,0.019346928540352,0.0195448003740003,0.0244339257364977,0.0201543931712557,0.0335969665271744,0.0505574541029396,0.00614028865773936,0.0397968135425029,0.0029809765437479,0.0473232963621645,0.00286039451706993,0.0181751983325051,0.025762845923557,0.00863557057184674,0.0147323319735106,0.0113598184561163
