"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75"
1980,0.000512941655652727,0.000746592539960678,0.0155507979900967,0.0654347076094793,0.00565961891974236,0.0201096340162073,0.00282843994224846,0.00521838525900457,0.0269142457404198,0.0156632626106837,0.00840559668743307,0.0124054090998437,0.00936640308952035,0.00541664049579011,0.00371152277574369,0.00189091691653017,0.0161724636121933,0.0165602050125039,0.00520628786590062,0.0633012565104168,0.00228604714764201,0.00634856938116797,0.0218510353907277,0.00459348358276586,0.0415446772372428,0.00290011722549784,0.00379886809109322,0.00380939515736138,0.042300411449105,0.0513736182817794,0.0239838874322956,0.00373464549360585,0.00457076959598919,0.00802412940754696,0.0355024021162471,0.0123062228583687,0.0338626293823678,0.0127011948414888,0.0156921004817916,0.0149688319850192,0.0079410508140171,0.013320234440666,0.00345462819262628,0.0238612857076338,0.0304019830126066,0.0235521435788421,0.00253423452877491,0.0107608067971299,0.00342391654066491,0.00754501307038402,0.0156226060586618,0.00184736356672185,0.023868304749495,0.00094522273049618,0.000353915656534736,0.00066167549639563,0.0175388015887421,0.000770687115097383,0.00215516146079966,0.00343784604657805,0.019117998930894,0.0123846872001719,0.00750626509476692,0.0153928205194805,0.00278192761185789,0.00656585552900736,0.00299864740379907,0.0054008232544828,0.00977831515324829,0.00823413108444695,0.00413636983762304,0.019133889770675,0.016249907241601,0.0128233793066494,0.0162697360199524
1981,0.000867661126431525,0.000758950617052043,0.0106088966793418,0.052959938400155,0.00635721187522359,0.0120331080320476,0.00946800135172707,0.00252458124269647,0.0211665179590212,0.016106987467669,0.0280210683792901,0.025533586950601,0.0108065357888985,0.00693081692239004,0.00391779892823037,0.00278386877683907,0.00792807196121534,0.0267833487410961,0.00448181981142322,0.0436286201592275,0.000775743713392344,0.00694961485632172,0.0261536484717686,0.00517790688214543,0.024534867417482,0.00952959550680709,0.00456135752063078,0.0068835144739488,0.0446245626137577,0.0406140961619554,0.0197258623468107,0.00361884026920198,0.0106043416055369,0.00814905085642156,0.0291224312012172,0.00438407705941193,0.0186470898211142,0.00783133153634433,0.0129449234038482,0.0100689808431678,0.00531135592847466,0.0161816635839769,0.00576902265222496,0.0412408946998558,0.0232300431128508,0.0156173734592083,0.00398482887111556,0.0148640880797166,0.00192755507204873,0.00738901802396281,0.0115172430529604,0.010623887747184,0.0394289447592562,0.00113517742955507,0.000374817424355506,0.00100636468377202,0.0237619475446943,0.00105295117804769,0.0102545947009858,0.00462765077181354,0.011572781427831,0.00592393302454667,0.0222333003367679,0.0217362270316445,0.00511623265295137,0.00810720459032617,0.00745357248486291,0.00731104106976443,0.00822745237321585,0.00599101187860593,0.00571244864837399,0.00595625994290214,0.0341477697396262,0.020483587938511,0.00215852635214921
1982,0.000495590662299476,0.00118629911065309,0.0114438510594272,0.0245899617185247,0.00658605453967015,0.0131953701035153,0.0060653337755451,0.00209664049973798,0.02421828578198,0.0190702842131066,0.0233548037101145,0.0322526083331388,0.0107855983285658,0.00328975131162661,0.00313824738990529,0.00547935749723835,0.0173432768252864,0.024800737782985,0.013660286531995,0.0338557393934252,0.00387682750852678,0.00843477576620634,0.0206418119100964,0.005869229274851,0.0486943580750811,0.0141152756481854,0.0070540561425936,0.00634885745193774,0.0431158002946665,0.0520285443282112,0.00611513014878283,0.00808195161608571,0.0075586762495448,0.0136638733523289,0.0186472749375239,0.0190991215458117,0.011104707931312,0.0187669434250447,0.0205534322074872,0.0123454887587559,0.0110198076574872,0.0138587127787915,0.00467477540471746,0.0304788644735372,0.0189759978612816,0.0257152633599762,0.00473101292900054,0.0104775261040285,0.0021221854377757,0.0126149650016406,0.0113344717489321,0.00409940938267027,0.0149682421258915,0.00234509355477641,0.000432171075461193,0.000280285262260024,0.0250084888871217,0.00116455191392719,0.00665061407060773,0.0042528523276581,0.00350543670110322,0.00766755598585876,0.0225498922154144,0.027747981311186,0.00491077538005817,0.00577760517518356,0.00536987626073426,0.0103165532883467,0.00841652876223112,0.00875099188823969,0.00352038307775504,0.00290405976540416,0.0350918535923395,0.0176279373144998,0.00761306278232854
1983,0.00048022968384898,0.000963272921922918,0.0354641194323706,0.0424463097432899,0.00599587044376244,0.0118034935460149,0.00695628514802596,0.00167011942262285,0.0167596332526317,0.0212061168852169,0.0101499660817745,0.0237426691153246,0.00957484798952232,0.00338266216976842,0.00192158678391608,0.0033072701445704,0.0144747043370806,0.0156815586406097,0.00251979165327111,0.03590657156875,0.00880816428173431,0.00759535118703666,0.0219422080507817,0.00909082934671397,0.0308793500528771,0.00379882709882384,0.00839606161315072,0.00929014858158664,0.0471816777191488,0.0482098306132377,0.0123375407007679,0.00242133913271629,0.0123635395572314,0.00692382458639883,0.0272939307955384,0.0123827076822807,0.0166544871543428,0.0148437265361737,0.0260273780006023,0.0168369981896297,0.00838825236367353,0.015267876476029,0.00819439897782378,0.0290425376726337,0.0154427433917019,0.0146824295132384,0.00716930694838554,0.0055352139260458,0.00174690563231638,0.014346406133078,0.00887123810829212,0.00255579320654155,0.0223829484679029,0.00709820936147827,0.000443049719358535,0.000203148221956688,0.021652734203411,0.000648402831183238,0.00684998965959908,0.00234875425668844,0.0195743999935588,0.0109459867042357,0.0210923551626099,0.0340439858977721,0.00327525535075969,0.00376015129056459,0.0049876782652911,0.00636242076946976,0.0129751857473818,0.0123163048026113,0.0026730016178452,0.00788973103051374,0.0384945626806738,0.0181506706731905,0.00290297109711594
1984,0.000445612337643913,0.000668189345218852,0.0310842501100464,0.0426940647672053,0.00502859009538296,0.0125453392427677,0.00373757441675189,0.00522139658833344,0.0232511840841769,0.00682235207730856,0.0252549956985593,0.0403165148409844,0.00723325606988824,0.00291084974921291,0.0032689103639053,0.00495142965685033,0.0174631881080056,0.0277526697728555,0.0070060000372036,0.0234544068062523,0.00363541315556443,0.00823373882195239,0.0114511301727192,0.00678536899074651,0.0296896999979495,0.00484394871490523,0.00525886504040295,0.0119596143402279,0.0546643773213116,0.0450586972330988,0.0128265859475372,0.00366718040810659,0.0118750386610924,0.00879951341719877,0.0426915913007058,0.0157482055684631,0.016384922849171,0.00895344778803082,0.019545733225914,0.0173931599186666,0.00451922656849257,0.0176312720165084,0.00391075203538524,0.0349080272536808,0.0232468820738504,0.0266995119595835,0.00463105537343524,0.00804674366139525,0.00495739932332532,0.0129191859246275,0.0152535185248001,0.00290493532613817,0.0153841787871061,0.00371691662906162,0.000828662608427642,0.000296058598720928,0.0203388458046127,0.00188201021800985,0.0061596119717625,0.00489572437454579,0.00754797620938958,0.00754428544467055,0.0146642812850985,0.0224299139236184,0.00285842732801458,0.00342014557851473,0.00778243040446217,0.00511936559927908,0.0102119200991449,0.0175527012681063,0.00858404111366041,0.00844871600979702,0.0187291732024038,0.0162993932797571,0.00509970317829487
1985,0.000370363009091371,0.000681913985823943,0.0461843596151904,0.035687108136693,0.00527165550270086,0.0160991130778914,0.00324587843821669,0.00229568740418331,0.0233721080647802,0.0143424647906142,0.0224426311853068,0.0137869171710531,0.00472825202372227,0.0166427272837445,0.00455547425899374,0.00179944906105459,0.0128462762231084,0.0211960684133048,0.0151401343494723,0.0296179779627536,0.0015558679451291,0.00592885449596014,0.0114476508965399,0.00801230895419088,0.0146767447684656,0.00534125315644585,0.00322477103492238,0.0090321984584897,0.0553730433821493,0.031422266286432,0.0218264928034013,0.00432029268783373,0.00640403426892105,0.0103743324837516,0.075464521832956,0.00449392567205579,0.0124482522535592,0.0128682879405249,0.0237377881385853,0.0147591314821651,0.0120371134390575,0.0175470305145962,0.00640003074569426,0.0310807662024591,0.0227113042754639,0.0336988807156949,0.00325680830575333,0.0128296316119274,0.00314501662987011,0.0122055704169786,0.0138432380306483,0.00309239424949453,0.0155719472396283,0.00100008490184536,0.000477702544117103,0.000285574450807697,0.0135428814677551,0.0011972824631044,0.00576541501215243,0.00354339094804248,0.016987279733501,0.0103832459512486,0.0109099691157269,0.024455524061952,0.0110861909276938,0.00628976216398079,0.00493900473996684,0.00473892187179037,0.00899277854749723,0.0152773936896754,0.00251289517210781,0.00651730197174072,0.0194686347329735,0.0194718600495921,0.00171859420528419
1986,0.000310805553220137,0.000583865829156271,0.0252522370413395,0.0371472767083739,0.00665295897805443,0.017359013397813,0.00869474315199053,0.00627132131016133,0.0290111437457103,0.00763666399823547,0.0253371216741996,0.0202681570072036,0.00414456480453369,0.0044731756960941,0.00545568843041382,0.00657710520136107,0.0139536897703932,0.0198961916433431,0.00281945292620134,0.019301863825456,0.00110629632059112,0.0067762494804047,0.0113478952683209,0.00496184423206729,0.0226464304491932,0.00300370681217208,0.00818753843111249,0.00918349107135054,0.054605793749173,0.0310507700350353,0.0193639831000535,0.00474177482570132,0.0124785963902953,0.00967280729353619,0.0381373257917136,0.00237922699934123,0.0281719140857939,0.0228489123926381,0.0166617858112976,0.00970548822320585,0.00812803546493449,0.0141929776133383,0.0133202613457463,0.0315931104008663,0.0269610265580272,0.0265858180811623,0.00188886811490066,0.0144809863919602,0.00714539194024066,0.0121922655285775,0.014484080240943,0.00271604587380753,0.0221692063926477,0.00241137135852362,0.00138024464118323,0.000559606261380823,0.0258372107757152,0.00111719594349198,0.00461695521000475,0.0048250803552128,0.0124650524346524,0.0156761591577163,0.0152643849720816,0.0218825392895508,0.00441854489507922,0.0101655754145384,0.00460141065169037,0.0106670344631639,0.00914165070868909,0.0118271369607006,0.00719864558912763,0.00604616532592616,0.0270760894333068,0.024420061722315,0.00436493903254571
1987,0.00272575694552149,0.000706513929431999,0.0250503495825313,0.0243338073650743,0.00463871334439111,0.0208120006621753,0.00804698839203078,0.00247916107650919,0.0208409071996313,0.0124082836696007,0.0219066650093982,0.0108124222120886,0.00501720036127895,0.0125117340568277,0.0129980479256849,0.00269552934577916,0.0222849274819062,0.00681243763328348,0.0165131015128127,0.0303206628122245,0.00304214957182167,0.0108615530593922,0.0100967120787382,0.00589943228708511,0.0382551355402713,0.0121080896377032,0.00295050319814694,0.00809076589396682,0.0738936123160801,0.030932455601179,0.0117379560817727,0.00347797596819952,0.0108266609913112,0.00518798104941215,0.0342574814371625,0.00439465802209994,0.0248814066616293,0.0261932188871405,0.0165157045681012,0.0123191636098974,0.00729709451922446,0.0153112953237584,0.00479807775836727,0.0162642987848757,0.0224255625603558,0.0181356073900385,0.00341978187641958,0.0124889403190546,0.00399353439257289,0.0174369438082472,0.0064094941085612,0.00264241253448781,0.0237325179338602,0.00115277692074443,0.000558043593876906,0.000284548404113485,0.0107341281975693,0.000762550801852823,0.00638922668436745,0.00386235167261915,0.0274164827893846,0.0113231622549816,0.0159656299000357,0.0247916790068333,0.00984451525629016,0.00637056534177477,0.00707456731130298,0.0237542017819529,0.00738819339306941,0.00857829600006235,0.00476723358896511,0.00532086129173858,0.0356123545187469,0.021414407217838,0.00244083578276357
1988,0.000552716568073883,0.000652237293646374,0.0105434180393773,0.0393970459533132,0.00594664037821585,0.0116711134668143,0.0076525526231973,0.00603778522963931,0.0201476550440189,0.0179523263550784,0.0148759827651803,0.0223511906404741,0.00956210507030913,0.00456361367910868,0.00481683573416997,0.0108946556419576,0.0184968799933012,0.0205737252840515,0.00753057232497704,0.00780572624071597,0.0106440438253244,0.00907965306433853,0.0124208575717424,0.0184260015854175,0.0299424924859811,0.00589324924493237,0.0034757751908109,0.00822214415584384,0.0503517331680861,0.0440261011555241,0.0157214186823387,0.00491818722218226,0.0156004921965183,0.00652541196747603,0.020623525566293,0.0169658409606075,0.0246779421995841,0.0213655298932117,0.0238391953801639,0.019484855962946,0.00891025067437268,0.016285007103051,0.00507201224673037,0.0357251666722199,0.0211767696980327,0.0165558068076497,0.0049115628521271,0.0131834632972873,0.00679588893953551,0.00680239597229368,0.00732795439572087,0.00463193048447178,0.0342196248926005,0.00133901994251923,0.000837998376279408,0.000395453984850819,0.0253426244813921,0.00255725693582665,0.00589242998384266,0.00552726287402692,0.0139090411264112,0.0107029296622275,0.0133016971284454,0.0308646255424733,0.00545619796129962,0.00961630365878272,0.00546185800136169,0.00790995104798109,0.00996863094143991,0.00491133300584895,0.0087947433626587,0.0095308914583193,0.0216180870100131,0.0134831460283307,0.00675145364463297
1989,0.000456010002036697,0.000660957015634145,0.0164039751358874,0.0235304258371258,0.00487298355710822,0.0128289972461129,0.00979782247487209,0.00356294601363501,0.0338238776935394,0.00949410472298249,0.013103075689953,0.0354650087263311,0.00897743644163535,0.00801626301213877,0.00295509549853295,0.00353104539744664,0.0221843296455153,0.0123708923524599,0.00327113468582946,0.0159079736039918,0.00283234153309465,0.00874289955388374,0.0104104035631996,0.00769868279158511,0.0187398257114966,0.0229468347597444,0.0113511576341913,0.0106984291892942,0.0554010425902366,0.0371962237554075,0.0111777148677339,0.00541703642812729,0.0185704342528163,0.00980360038224948,0.0321773251961179,0.00836200310652107,0.0124966673635595,0.0223685622546669,0.0158890530377232,0.0120837192316878,0.00623123791676103,0.0181695108292463,0.00780163256362019,0.0359971540654226,0.0152519940312083,0.0183458583268189,0.00198172286832531,0.0122548712448805,0.00785843859301258,0.0133645144397398,0.00889592735822195,0.00529579076751258,0.0342889692045995,0.00140916282189266,0.000577034755520813,0.000335543807685506,0.0250765185145145,0.00125872337739256,0.0198864918483174,0.00489540316375651,0.0159769404010472,0.0097045429646445,0.0180893292678152,0.029397828288064,0.0110078820373098,0.0098648419989593,0.00350125331023762,0.00508783221900611,0.00967382414300269,0.0161660423618055,0.00469774408198398,0.00748114955171979,0.0138783536728293,0.0265286725467274,0.00418895070029258
