"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
1980,0.00320532391098355,0.000376392110695359,0.0181934278303565,0.0835943620977535,0.00274154663303957,0.0294555511827272,0.00539392219330787,0.00849151021748584,0.0245796967456927,0.0174841703837029,0.0104966297571131,0.0140600468733536,0.0113688179502869,0.0245023331982404,0.021944365191085,0.00505413874275297,0.019333242207967,0.0279297082202524,0.00718524346368934,0.0725548821928647,0.00268621255886224,0.0219509957487883,0.0198373635751676,0.0110131899529213,0.0536912782469259,0.0169698257139275,0.012441734124335,0.0100205383521136,0.0457733091089551,0.103281335773651,0.0386934449723411,0.0195874874714214,0.0144963371153319,0.000761308986699485,0.0365344128542579,0.0282310966716345,0.0440265311055618,0.0154338768451379,0.0161546583155041,0.0176820463443934,0.0110156339561341,0.0191956942589419,0.00623910411210741,0.0189993518715595,0.00733792085997555
1981,0.00837950842152546,0.000748652683398903,0.0138401745172462,0.0682629218633883,0.00401891486950834,0.0263827147883115,0.0198175496743117,0.00412732324216045,0.024912692235426,0.0202716062908638,0.0311621911332585,0.0282334068543033,0.0121289589031653,0.0163960361664527,0.0226624049222902,0.00677833711818235,0.00975364898091348,0.0401505971021614,0.00766422409514384,0.0535118827025558,0.00160174132166814,0.0276736283447349,0.0314677242098028,0.0148849171744832,0.0356006369271112,0.034450502650812,0.0163761696676842,0.0145473821121736,0.0520635206397268,0.0709851664928776,0.0229942496025517,0.0125611638795788,0.0246608950460883,0.00109382010235252,0.0320550767713685,0.00572497027269843,0.0277309587894787,0.0139608266591662,0.0182053197743105,0.0153076381097637,0.00850330727964909,0.0227064819054341,0.00754664194041236,0.0612166112772451,0.00687690248425979
1982,0.0059536948727291,0.00039595834376225,0.013652497907681,0.0355867342648126,0.00397711559146788,0.0230011414441583,0.0129896648457976,0.00286692019997129,0.0334961204305911,0.0222025388515896,0.0152653932531059,0.0338500674644901,0.0132142984479413,0.00575778679139881,0.0167550562778708,0.0149359982591234,0.0198532120780149,0.0418440381981347,0.015146308389457,0.0454483366576924,0.00587267302841482,0.0288484775701029,0.0208595039728676,0.0134549294567974,0.0623241148307034,0.0349846548990523,0.0287712262089099,0.00999125854859858,0.0495076024029378,0.0868344748760669,0.00918512774749928,0.0172925178557362,0.0188247325965577,0.00472686677171581,0.0241503845246544,0.023573224745592,0.0142453715247449,0.0263197337431525,0.0241207961387444,0.0162651333184577,0.0133826433621561,0.0188911233018233,0.00648525850261627,0.0571899071721893,0.00770538033011856
1983,0.00640179878282374,0.000482015252253754,0.0421139996499859,0.0553959793036458,0.00200114928066754,0.0223226282312956,0.0114255824937614,0.00157443897496936,0.0184846821526774,0.0245617997863067,0.0120367969331749,0.0250800791260614,0.0144232790863261,0.0202001023414594,0.0150219154508794,0.01073255062279,0.0166330641393937,0.0335938470718043,0.00315583086444405,0.0471670716086432,0.0102545362469614,0.0387832138263223,0.0270304059613643,0.0200093166953171,0.0417669696800411,0.0248532449164991,0.0243482372136304,0.0101853636873785,0.0547382372835211,0.0843965818385309,0.0169335759487662,0.0104469657005165,0.0274353186914894,0.00537103221888147,0.0320436668371058,0.0179641845327514,0.0189406625141938,0.0262344603125992,0.0167439949837248,0.0200451925156502,0.0130378305188328,0.0212383343477633,0.016155395742069,0.029902766721261,0.00833189991146519
1984,0.0079168641657837,0.000353375786955891,0.0376028176712601,0.0592183225536721,0.00311874085464585,0.0234576865025209,0.00691765517531075,0.00743555933081304,0.0296220903576868,0.0102909151081134,0.0126689753578502,0.0457093076400752,0.0095344650337718,0.00956954460565118,0.0165502815355384,0.0107435325175664,0.0204067186166055,0.0397385389459784,0.00817734187575211,0.0267827688555542,0.00512256583939544,0.0274951270017427,0.015328699775612,0.0121185692157282,0.0363850014823959,0.0219204479861263,0.0280815181068714,0.0149767826763065,0.0650212394757948,0.0753669028196523,0.0181370655057384,0.0218151304935014,0.019162623821668,0.00286794806748878,0.0456433993239113,0.0200081991488695,0.0237324793594634,0.0162554068223191,0.0162825105692222,0.0210796698309125,0.00716959872258872,0.0232199277480439,0.015446158065573,0.0543482210766798,0.00719930457328832
1985,0.0051845608106835,0.000380164240956896,0.0572548259559614,0.0469840482943984,0.0031248700284029,0.0261626564209304,0.00719645936659312,0.00382733458364102,0.0407695829384016,0.0183822022315031,0.0104221729584052,0.0155729323123133,0.00677920591795692,0.027194268748493,0.0182905147107361,0.00501932976714838,0.0139028592379344,0.0378274649886988,0.0260397358142536,0.0345731099668164,0.00263222733249406,0.0283853589300657,0.0128989968038921,0.0120528632071798,0.022114547996378,0.0213302675342592,0.0216976265640701,0.00738530728806044,0.0641102015668124,0.0614661949351378,0.027405260028656,0.0195298767455881,0.0189108600438804,0.00246975397060393,0.0782757346253058,0.00633745174228442,0.0153509329730392,0.0174177750006189,0.0262002437621792,0.0167117352540713,0.0150197372815933,0.0215348820503321,0.0182115531339302,0.0499973031299407,0.00766500880539844
1986,0.00531486391059645,0.000414682942616777,0.0301241235847599,0.048217724564752,0.00493468363358478,0.0372281729473558,0.0135002538691721,0.00786047973963073,0.0394761073409338,0.0140064903510553,0.0101348460376702,0.0219839510753582,0.00522892578665466,0.0169836923736596,0.0239476491876802,0.0146252946345747,0.0159083088053489,0.0369754621034625,0.00410202403245522,0.0251747315192949,0.00187631853573102,0.0240096950389235,0.0195707444712382,0.0136920997955971,0.0307371519329048,0.0264738632954619,0.0297600532496113,0.00891283435996561,0.0662236702494512,0.0599797079219025,0.0241368916349739,0.0177903393664015,0.0284879288993243,0.00348904984098846,0.0455633415165759,0.00494620150887455,0.0368863214116202,0.0292812825045569,0.020064658932589,0.00976390970551206,0.0120401652771412,0.019102784438381,0.0236681198688052,0.0587826456703183,0.00861775213253381
1987,0.0128964342046968,0.000491709314593158,0.030416588452072,0.0350994268307235,0.00236363924769732,0.0406984612630266,0.0112959508628136,0.00387094618410338,0.0216584146315386,0.018615474361504,0.0119395672695724,0.0112067562530793,0.00678370803600794,0.0362770954727394,0.0274835462902688,0.00945558890217114,0.0240535924603114,0.0169809688111952,0.0210808897570325,0.0361700878516399,0.00492298394596033,0.0265123949779725,0.0119772525061937,0.00843974828890775,0.0531492817610158,0.0346985328553876,0.0138795393219115,0.00795769093707395,0.0870753812556031,0.059359878722633,0.0158317697673752,0.0126658976225017,0.0214322015340329,0.0029349931307019,0.0424244351104792,0.00516538699611363,0.0284796597560748,0.037977834018388,0.0168664118574891,0.0155779076838735,0.0101462771467486,0.0199304207016628,0.0153685702920191,0.0569578533348875,0.0114288500182059
1988,0.00694951883427995,0.000439787291576832,0.0131757542142942,0.0536378820947495,0.00287509391249767,0.0194809034229072,0.0140497345243233,0.00912286868195076,0.0204669212060762,0.023883198531162,0.0149691390100076,0.0261856179511779,0.0127492798208881,0.0159835944452324,0.032003882077101,0.0161471400789792,0.0205851008196162,0.0361157274343145,0.0119393469829815,0.00935668706474452,0.013070766742371,0.0333073095794242,0.0131039342817404,0.0261819192829137,0.0396896575837671,0.0406017598503687,0.012037677178366,0.00989413795592872,0.0642785003436723,0.0750540455230996,0.0261655662604143,0.012016113876073,0.038191145524286,0.00163935586045414,0.0256228649952582,0.0202305080713352,0.029398025882169,0.0298323751190987,0.0215910201757019,0.0244422906406616,0.0127219388072763,0.018921594402575,0.00995279443987868,0.0322186616527831,0.00971885757152241
1989,0.00462945397502279,0.000432266129401176,0.0195200313778829,0.038572143385644,0.00213454839898953,0.0291706357990214,0.0175834948022011,0.00709439027184992,0.0286029506141008,0.0151860610001759,0.0372973737498072,0.0409437764388201,0.0098911408357775,0.0174377482471928,0.0244734047706049,0.0126585453005254,0.0245120255993353,0.0258633878359817,0.00971033720256745,0.0184909316603696,0.00605018956511609,0.0323223276519327,0.0121722718110383,0.0151865724845382,0.0234007163297213,0.0450169215609163,0.0365530714446486,0.00985232766070208,0.0649075885806102,0.0749344573552146,0.0164559523031236,0.0112953555215945,0.0383907332171531,0.00141984583383117,0.043434724196462,0.0118550841437156,0.0143548419182405,0.030152854561319,0.0234268396426825,0.0144455674740825,0.009200010640239,0.0214519527916807,0.0194369984247215,0.032325312311757,0.00775283517968773
