"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65"
1980,0.00304823625540546,0.000440180889411878,0.00510762551104622,0.0498510783917702,0.0190448147909916,0.0109746507263906,0.00537646618729691,0.00857830373965749,0.0626398485043274,0.00337782686062451,0.0229096774430892,0.0569993261490599,0.00308857369238087,0.068826931549547,0.00177782100587689,0.00245768265502456,0.00236766806607447,0.0113228196560521,0.000546791137359113,0.012362709926463,0.0146968138652119,0.0276455607422724,0.0660057994972212,0.00334198167030446,0.0471805188919745,0.00715692212114434,0.00213496197783587,0.00848455392917965,0.0171249434091134,0.0725560866395775,0.00099504882355639,0.00155389118880667,0.00306985440108842,0.00350406085503953,0.00937174899879219,0.00241480020431996,0.00862370606611441,0.00280946512957306,0.0136221295024573,0.0146406079940059,0.017892536323969,0.000172773423460824,0.00801854628912045,0.00350884610111136,0.00715441910132565,0.0263641177409022,0.00607359287760985,0.00614655384157136,0.00520042330558855,0.0590616465337353,0.0174098754363113,0.00102673683962412,0.00743582909406092,0.00627643236368419,0.0339708120924069,0.000572777051116734,0.041521900270999,0.00159144547063409,0.0207966784899237,0.003616083264959,0.0198422605058356,0.0105852359391221,0.0138216607420812,0.00209283905040746,0.00181348880500053
1981,0.0039501464216339,0.000405346244550492,0.0139983127550938,0.0734365287971102,0.114096929476869,0.0114569859481889,0.0079447688267711,0.00655475594066316,0.0746576792260264,0.00452817691351504,0.00983613545939649,0.0801607011396903,0.00240494713073846,0.0531320414455919,0.00140126057714179,0.00774172784560563,0.00599972578067152,0.016309501988315,0.00211155716136275,0.00827411848356383,0.010667859455532,0.0237989651240855,0.0111380714468271,0.00448191287709508,0.0356107238272961,0.00292224334231892,0.00264561740762004,0.0108620205075391,0.0171904386450632,0.0640210623399868,0.00488025708084311,0.00443880210628772,0.00264018004780801,0.00819872968858222,0.0101379168148681,0.0022082877476493,0.0141901238600497,0.00412492469430221,0.00795267297031069,0.0164193962334565,0.0085041199057611,0.000346024569990106,0.0030406468334553,0.0101482729240945,0.014406455844916,0.0197977924554977,0.000963624803614647,0.00407898547426957,0.00446186404157806,0.0563882144816241,0.0156907571078818,0.00438942142066624,0.00457735285553788,0.00548348197386477,0.0303283055577893,0.000473573235634353,0.0210345037159453,0.00116601952863206,0.00938277975659609,0.00573286105533771,0.00438700618938678,0.00552279698694664,0.0084279297732977,0.00280322303274314,0.00153243269491836
1982,0.00318702095633363,0.000346786851923398,0.041769122027546,0.0773865796651735,0.0161148304748966,0.00753205105666355,0.00791253443493922,0.0113135945155541,0.0401710512554087,0.00209673685823725,0.0252724755228831,0.055542880968556,0.00269261081393977,0.0549783985073903,0.00156140976570555,0.00562075043221754,0.00215766517909849,0.0175052652093472,0.000777948002091633,0.00953613758254393,0.011206473386365,0.0178141799009354,0.0090064500998387,0.00503688021168611,0.0567219341351788,0.0134382585289399,0.00173800951913303,0.00757217500938581,0.025802288536973,0.0452656622433804,0.00185692025892187,0.00280188554952132,0.000708071473927465,0.0055532307076925,0.0199669936340141,0.00207112797782836,0.0136745225220235,0.00278746694538491,0.0115563056126436,0.018763153047656,0.0109195873361246,0.000368451508169929,0.00162663537679259,0.0215069391732123,0.0186837911057623,0.0418985007928967,0.000782114262734848,0.0106687152129672,0.00674024473121871,0.0379345720925781,0.0607657916217422,0.00773937023944258,0.0034704525112659,0.00305173068522999,0.0245200444914562,0.000689458139129489,0.0221017944021075,0.00356095663994898,0.0222962643898307,0.00868860193299074,0.00658494830899744,0.00453646798324792,0.0206479761652791,0.00166425620769951,0.00173449530729534
1983,0.00446954229638652,0.000411856074498489,0.107981279898125,0.058335963277375,0.0236730000756024,0.0105049765177818,0.00198942303544924,0.00810179858591497,0.066813341926799,0.00224014765926963,0.00667774045770916,0.0607366005163511,0.00281586039251454,0.0503546921376542,0.00412731136995071,0.00294696476510074,0.00758989818421703,0.00482692677550143,0.00180996502921515,0.00669807235334776,0.0105537130493218,0.0175441695693862,0.018441283839215,0.0148688171750925,0.0342940341960449,0.00369230011194979,0.000840766178302922,0.0144769289352837,0.027346594903194,0.0178872689101981,0.00212028444770239,0.00170403176564795,0.00074550156731992,0.0057780400137702,0.0547462313175136,0.00229351632222174,0.0083144658343541,0.00311918582147572,0.0141997658517363,0.0108484802288707,0.0148086124523333,0.000644295967978156,0.00234791108259997,0.0021204015689849,0.0106569345883431,0.0269263700219698,0.00219339413198139,0.00488126477504402,0.00810105392116925,0.0749907150098434,0.0573561394543258,0.00807760923670368,0.00143926388066712,0.0037858953932332,0.0359339085302967,0.000346453896097737,0.0141110732028844,0.0024325155694619,0.00501555425914629,0.00332482575574453,0.00244463594348374,0.00377377290927989,0.0135216669734879,0.00201051392075682,0.00183447618681752
1984,0.00266473290779947,0.000399529023947147,0.0584944752514102,0.0453622654640709,0.0105814432147272,0.0100986810166285,0.0100559730053402,0.0466752068301536,0.157221740045382,0.00238033580472381,0.0115676458120872,0.0241128817056348,0.00159692909644499,0.0503144825132142,0.00301342602547508,0.00138523581142781,0.00485880335658953,0.00692300965986807,0.00306047377367365,0.00470813249595268,0.00638588926556656,0.0145757299911184,0.00610656171041326,0.00269898532282547,0.0165831015503205,0.0037056874822527,0.00162882435841929,0.00599561280835667,0.0192164461696002,0.0403872487107012,0.00810399898107243,0.00555331892515659,0.0023045482818752,0.00556527882776481,0.102878728331281,0.00451897623726896,0.00337432216452403,0.00684099102778317,0.00774235149404139,0.0161770645396137,0.0199121174170203,0.000646099492079177,0.00299637837093223,0.00595797135761008,0.00661654933617386,0.0445430860901745,0.0008582020296172,0.0116445200562125,0.00392283959799465,0.0288845255394486,0.0192520171036425,0.00820856613437416,0.00747733020303695,0.00641305543289344,0.0427679466298369,0.00104974122310398,0.0151370713257723,0.00403525511208448,0.00391037216966074,0.00374870430877701,0.00157500216638372,0.00577226783920018,0.0158377205110827,0.00140078938873648,0.0016128021696438
1985,0.00338414996417746,0.000555273792386007,0.062927224343313,0.019543170988534,0.013465963780928,0.0108214731608213,0.00200565691652146,0.0771665512782012,0.0989685685031738,0.00273972949524966,0.00598411128791116,0.0175419801809925,0.00176476454253542,0.0349106353952862,0.00129280819622691,0.00655879406850948,0.00227811947237257,0.00423441691102455,0.00163157748614442,0.0065749695394049,0.0067407308279272,0.0177757480743882,0.0106311698086348,0.00780572018472736,0.0179716742950343,0.0136158131776184,0.00536395944212859,0.009540691909498,0.0213156095253448,0.0102287065793434,0.00699478643397768,0.00209289576685032,0.00819316049627509,0.00529119806318928,0.212607418162608,0.00177745945354878,0.00573981548172049,0.00296877173359764,0.0127336909545637,0.00889840078769634,0.00412402407654778,0.00697089453363409,0.00206560069153694,0.00499652142876269,0.00869752696595435,0.0274609078448575,0.00233402668458342,0.00496675147311279,0.00756865934852844,0.0368255238186713,0.0213943197366516,0.00713814590247321,0.000750087050190986,0.00464878206826111,0.0444934388371063,0.000557667068274237,0.0245880165849831,0.00184064041757517,0.00734949857303292,0.00139504565275184,0.00196679030382227,0.00239953059768535,0.00908005187130203,0.00194108390899447,0.00180910409831904
1986,0.00253290613905196,0.000381196704693471,0.0044610149468984,0.087104177666977,0.0141102012230884,0.00544009034275361,0.00642538439015888,0.0454654347862037,0.079766916556047,0.00217489765036816,0.0215880814050012,0.109574934681576,0.00139480985138655,0.0468544690378117,0.0047530183543602,0.004213770220391,0.00228410176587631,0.00668354506505737,0.000700446358794753,0.00377804646198019,0.00862594661083586,0.0378021009268925,0.021433758197617,0.0210619605566445,0.0275963068211938,0.00438068616858858,0.00145161183464809,0.0045222370506163,0.0194866285019116,0.0251918629915609,0.00818362979848726,0.00141694405643923,0.00428869344925863,0.00832283196062921,0.014258250436057,0.00178310436213641,0.0115633048894076,0.00277684465575615,0.0106148851089431,0.0115715267812501,0.00767445877671513,0.00820168728134467,0.00298466926489984,0.0260161884086202,0.0114571394603435,0.0181921508929374,0.000480660179555392,0.00654482079582899,0.00649511504765857,0.0465352350126263,0.0135857361466477,0.0107378628918832,0.00736341632390049,0.00760120958950883,0.0363659837188254,0.00109272563235269,0.0317808100117971,0.00658840162125499,0.00497642967667656,0.00298424058923373,0.00312989672174235,0.00558680094862844,0.0329718125797575,0.00212805040659369,0.00250393925331804
1987,0.00285503886516059,0.000436607165150044,0.0254284971680076,0.0570063880967761,0.0141891290297227,0.0160182374478867,0.00776043213294426,0.147398653766733,0.0849943292662236,0.00170520197431609,0.00745928587478664,0.0138282277142191,0.00197212279209162,0.0456043386058854,0.00134649927135762,0.0100222491192881,0.00422737818592555,0.0185530529961522,0.00188193534221332,0.00190730120600748,0.00667396260895942,0.0178000821509042,0.0365844095108904,0.0349617862150078,0.0198983902173268,0.00846964269667341,0.00430871929853472,0.00979080412852709,0.033519869674438,0.0483287959949025,0.00438737468825162,0.00649170746603827,0.00458594009484764,0.0123721532333602,0.0414962538194663,0.0114211823815525,0.00558685890672943,0.00169966388277037,0.00661470140849041,0.0073161510506574,0.00868922034531383,0.00280991443770033,0.00594697563340925,0.00573144271943695,0.00863958381225936,0.0191239694696408,0.00110629764131279,0.00649486593759529,0.0166990424797069,0.0184928256734484,0.0137066854661779,0.00394029476499797,0.00472238620381162,0.00247777706774292,0.0272820788965314,0.00144134261154827,0.0196898404212432,0.0015670054710954,0.00320107534569223,0.005651696345813,0.00400244801870784,0.00951856273225773,0.0183829052688165,0.00175879399769841,0.00201961378886565
1988,0.00259629955567444,0.000409996563942514,0.0696134795230248,0.0185240413400187,0.00924694324499987,0.0488037050628171,0.00105720123580145,0.0262101927599888,0.0948479703498396,0.00075360318646803,0.00753266442195158,0.0147484125956319,0.00218953774231968,0.0306310710580879,0.00159949422915331,0.0114029694301885,0.00910067161418656,0.00535687862112177,0.00110709004636872,0.00481287601794076,0.00710480620865881,0.0116277893597222,0.00940286885263921,0.0252891633552069,0.0120089884994594,0.00668176965830231,0.00119022281549789,0.0156232514094657,0.030398410147063,0.0348122566626246,0.00964691792305448,0.00139296837880862,0.00374007272577918,0.00481857582822183,0.232124105132553,0.00166740227697996,0.00785433000021829,0.00311165397793615,0.0075062447592599,0.00880924088033865,0.0100498727479612,0.00272810997688513,0.00297541615593549,0.0114552583904974,0.0132578558656344,0.016115181897421,0.00711269068775114,0.00343879557635955,0.0105541233122216,0.0082178088219373,0.00865745062245402,0.00728604116928324,0.00238024450230507,0.00279573835435103,0.0451132367158936,0.000283736016001126,0.0238687004049117,0.00292557872550132,0.00875222492589033,0.000746985354959062,0.000924646491876426,0.00220152191053638,0.0096171029201186,0.00167360692014854,0.00151193408184986
1989,0.00341403321755067,0.000409121256185074,0.0240161771699189,0.0196812694195316,0.0150983364709293,0.099461634480345,0.00830777956701414,0.056933976654107,0.10792260149735,0.00569426844247036,0.0200989840415525,0.0444489525045916,0.00208275066350743,0.0438156669316481,0.00273779900395204,0.012966449078789,0.00792230156299861,0.00429540081847653,0.0036504175007304,0.00528092456458349,0.00930395545226332,0.0249616832543643,0.0033236591258236,0.0155213817069581,0.016957196765368,0.0061610211832988,0.0029317868685648,0.0141349593261074,0.0263216404859716,0.0139046512673483,0.0132883034026457,0.00291228621166526,0.00547350467313784,0.0165142184393516,0.0308877798876848,0.00916081515949747,0.0231110324930037,0.00379459472767963,0.0083551765464633,0.0162901879876543,0.011881463872813,0.00967994993614846,0.0033882112612607,0.00533375732732031,0.0191238509634414,0.0239644291393491,0.00830842193107835,0.00678992092591079,0.0095002138463493,0.0301623044881217,0.0197489539100245,0.00206423078343434,0.00217590707509236,0.00363995771205922,0.0356168498869208,0.00095711558403002,0.0160582654547017,0.00466510453277535,0.00573647461811114,0.00379008245986769,0.0048543460485013,0.00733966219433218,0.00932113805443994,0.00201917017975636,0.00233153800307684
