"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65"
1980,0.00359515312341352,0.000461656832619453,0.0168847884841168,0.0787946142573137,0.00654991275327703,0.0231625734335389,0.00381083990973935,0.00584498732851107,0.0182517940499033,0.0156165436318283,0.0112876606250269,0.0154555356982932,0.0104422462051326,0.00481782214142783,0.00706584447958207,0.00254099126441416,0.0182816965970655,0.0150744514397771,0.00565758907727408,0.0195755522602453,0.00152874243505694,0.00748162753886828,0.033119160221269,0.00427417042356775,0.0472124868261228,0.00695896305335814,0.0110842490876742,0.00614534889312813,0.0405582187665922,0.0765731268083771,0.0278061689182073,0.00367910181292394,0.00544666224820558,0.00661706700212784,0.024409158496823,0.0205494390813205,0.0282361664640685,0.0130680981947648,0.0185103686797786,0.0154807164410142,0.00969215514588439,0.0151178247395575,0.00270507408075592,0.00475800835289714,0.0284715055422533,0.0213918428571871,0.0668313060406598,0.00890085838069196,0.00358818506991521,0.00890484973771217,0.0257531338071476,0.0156626920795448,0.0291812644030112,0.000827662400134405,0.00112895277241689,0.000389028241886767,0.017061348844082,0.000992073303590742,0.00239278618523089,0.00614668828894399,0.0208197537083332,0.000643206567971013,0.00808896294801848,0.0159977245306192,0.00264181698580536
1981,0.00796847758978443,0.000516786768499344,0.0117370193925422,0.0643743527203575,0.00755739392658575,0.016914157764117,0.016032170392138,0.00275796214153673,0.0139470619453287,0.0151746275846118,0.0358151645415511,0.0294596734228187,0.0111507942218291,0.00757480851004849,0.00512336493158142,0.00488516563169638,0.00986779139933143,0.028931047951758,0.00734923317313248,0.0336452633719811,0.00080897938719956,0.007599598302774,0.0430021611369419,0.00451658793822962,0.0294305195094328,0.0152746822267008,0.00976836600509516,0.0116666971055031,0.0458239921378218,0.0589959887475674,0.0195981222905752,0.00391907253397246,0.0106820316016893,0.00688710269568365,0.0283666096101459,0.0044177482787634,0.0179251631118431,0.00939038958703861,0.0142386360344482,0.00897627282288817,0.00706078411595194,0.0181808752265881,0.00485523480731989,0.00735127837322821,0.0211161899415286,0.0224186136272037,0.0256459441484044,0.0144252067939289,0.00207658585564084,0.00770426754776641,0.0129513373869838,0.00547395724216875,0.055693456805678,0.00136396833235733,0.00229544713999545,0.00116319683493413,0.0203813828065947,0.00113337625415224,0.0119326598073701,0.0128075360728147,0.0114952176343625,0.000649099205873061,0.0255508434406218,0.0215250477157951,0.00267745443719364
1982,0.00573705922165255,0.000380889041298652,0.0121188465319058,0.0313877468525032,0.00742381792248096,0.0150943566390836,0.0103190642593659,0.00234531968131262,0.0146578093135198,0.0199401154723725,0.0310675094595133,0.0362410452113286,0.00913946399115883,0.00366634309662592,0.00354462345904216,0.00996360937905767,0.0189220622378497,0.0268260957614089,0.014875910491442,0.0324764779604411,0.00371344190827157,0.00942767800030877,0.0357887972101702,0.00542572089480031,0.0560931058513022,0.0224607778842478,0.0137871378422956,0.0102103113385477,0.0427881411630229,0.0690066787044613,0.00713356298140351,0.00779999395781778,0.00783240222751253,0.0113905556701231,0.0172455358284636,0.0216664418161007,0.0104270982064477,0.0213142882364148,0.0222688058767729,0.0123790268281362,0.0127911740359385,0.014745726907759,0.00392752854889097,0.00970843988655318,0.016703803044114,0.0290119616277388,0.0210747385174879,0.00971967339680506,0.0024621258889697,0.0115535773790643,0.0149605320613802,0.00206160187508717,0.0288184631327217,0.00367021637113286,0.00137494927166663,0.00024308998088853,0.0254149959350004,0.00185510429843918,0.00744828766627904,0.00806163329150347,0.00379476855865202,0.0010733495127286,0.024920365738688,0.028464043021186,0.00185218164134011
1983,0.00545407595076773,0.000731952789685594,0.0378921431667591,0.0498134485301018,0.00720097987259485,0.0147076389398314,0.00880857313034651,0.00184162648397145,0.0116633556150667,0.02081656571705,0.0149658791478308,0.0259392224264911,0.0103483718338259,0.00330599288725278,0.00232154285152701,0.00635376532534693,0.0167218122298281,0.0177755644863843,0.00275554412486213,0.0352302095042848,0.00908665575911353,0.00823249962713574,0.0478645715022747,0.0101597633466802,0.0369490072137478,0.00379650384225627,0.0180630822586997,0.00821361476140293,0.0469631983243843,0.0600290583657543,0.0133285559642908,0.00248225520342805,0.0142962671113939,0.0048655873372886,0.0258387776194606,0.0148777079070562,0.0125693998898045,0.0189839658471606,0.0319748226473237,0.0157852065784043,0.0109969569549553,0.0183351469576997,0.00513334554633493,0.00325104568770007,0.0148784204727666,0.0150382923570621,0.0228080976581913,0.00389153036723786,0.00183680113197978,0.0164813916607864,0.0114303136484278,0.00727860177383791,0.0341605415642486,0.00751595410042456,0.00204316765077252,0.000185004208615704,0.0209858752498094,0.000971789200417131,0.00807333860282776,0.00785308845991864,0.0205685364931377,0.00315555991887218,0.0258028887251359,0.0364133041605838,0.00190224132738658
1984,0.00742271272588548,0.000406560680739571,0.0335182346947815,0.05267040485985,0.00573011897648654,0.0152481954557415,0.00542705294985414,0.00554142680664045,0.0136747620965562,0.00704790469432554,0.0323140981694644,0.0466356282282482,0.00793332183208196,0.00318254210938364,0.0036748078324862,0.00599947072780222,0.0190027736538276,0.0296592400007544,0.00777115005694559,0.020145092460923,0.00334856673072961,0.00902056575700474,0.0188598688169599,0.00664429072773779,0.0342948450595721,0.00970640014396333,0.0206132594831008,0.0113196138538018,0.0565264652763754,0.0696702307443289,0.0141121075178457,0.00362900664105336,0.0126603035630034,0.0067267711203661,0.0394041733090567,0.0173934391853512,0.0157037226204937,0.0118651702555821,0.020164920084216,0.01573047245451,0.00565702676998824,0.0182259399513166,0.00265900253595711,0.00650813392253877,0.0219440294574834,0.0270159808770649,0.013942797127405,0.00638861898725908,0.00551098798071804,0.0189423298794913,0.0170759134499999,0.00900195697710026,0.030458073795051,0.00393122487472815,0.00246922773317447,0.000262483469274788,0.0196152248926958,0.00224576342729135,0.00750978179113739,0.00824472927719945,0.00575355140922328,0.00221842677575303,0.0174238076689794,0.0227829573909882,0.00381233722035037
1985,0.00516423048634073,0.000642776242232687,0.052576324231172,0.044593110840794,0.00611207690652737,0.0171478336998957,0.00488135587335381,0.00244386909767035,0.0220742178170966,0.0140225439718767,0.0312178300940835,0.0157737905797528,0.00460216832585133,0.0176298801869262,0.00650291195499785,0.00257697824301745,0.0137988421178197,0.0237339496705061,0.0246553787370111,0.022916932732897,0.00176102897227098,0.00661818553083176,0.0202209806569486,0.00844335610499814,0.0171612440853054,0.00961409670189076,0.0173482720072648,0.00650029396656424,0.0575903274070508,0.049605359643969,0.0225478475772811,0.00431482589641752,0.00673064058124921,0.00759090982248784,0.0642892966254425,0.00456112955018347,0.0105243208076741,0.0164845456983674,0.0243102481682129,0.0137482967819078,0.0135674599662195,0.0181978478358009,0.00422686516910436,0.00777597180361867,0.0224923648999687,0.0380079472910827,0.0190568881929802,0.0133405474981431,0.00331918842060766,0.0186703061603693,0.0167954413390546,0.00578779361124026,0.0282990944617744,0.00105861212928792,0.00172792278382933,0.000249275950292091,0.0119894648661528,0.00152571671962406,0.00631152667987615,0.00647443617811256,0.0167565034463111,0.00193771000850877,0.0111557027119376,0.0246506937135581,0.00359250976640388
1986,0.00479599910459047,0.000510245439753276,0.0276209989137789,0.0467424845775218,0.00765860976281534,0.0246403090552036,0.00994373131432997,0.00713783602070907,0.0158385900665607,0.00767734162332764,0.0342559255140512,0.0224044454930892,0.00434525542431251,0.00487156077193658,0.0064753425531232,0.00726511867677378,0.0161552025822083,0.0217498465403761,0.00374299584468865,0.0200994191125033,0.00107891988513897,0.00739951812568595,0.0278498213707497,0.00470610592476423,0.028657833640951,0.00627248908777503,0.0171316448020739,0.00649602390112133,0.0575102305078782,0.0592858816248664,0.0208374819547401,0.00481340436565224,0.012987435033613,0.00715518696069368,0.0351268448337504,0.00347962679660486,0.0259090802090313,0.0257148510001231,0.0170258766421636,0.00718853269749358,0.010287135153441,0.0150548729334924,0.0106116047626661,0.0098634368394563,0.0271510165908601,0.029226058212362,0.00993385236252598,0.0161735817161354,0.00730984676007656,0.0198972645987502,0.0165205729280787,0.00595889128738412,0.0383824103904127,0.00285363352160774,0.00183264040559337,0.000312999298384244,0.0235711443483555,0.0015828750109342,0.00541861884901184,0.0129921927145753,0.0131990675262089,0.00774806772098014,0.0187451244779311,0.0229279959322023,0.00188704790204957
1987,0.00813962372686032,0.000418166962020573,0.0260672143818721,0.0307999953848167,0.00492554929558244,0.0281328899640773,0.00954680901868485,0.00366487513869205,0.01741314409113,0.012782916471429,0.0300530099598947,0.0118932600074136,0.00602200917407905,0.0128388050034279,0.0150188240673375,0.00450662384271883,0.0226541378908517,0.00773257094797788,0.0200536246839662,0.0274749893965989,0.00335867644588014,0.0119654075193761,0.0277940732170582,0.00589560243526727,0.0476041919303319,0.0165376461227419,0.00999599124565847,0.0053963405435682,0.0738489689291503,0.0443726888451093,0.0135427510500033,0.00340253817453608,0.0116735387752653,0.00451609596176859,0.0285702673746212,0.00444039586867148,0.0254054774251089,0.0309216538994664,0.0167949329666178,0.0123988541401133,0.00852631964261342,0.0164452955979159,0.00268455462940395,0.0188517490295299,0.0234139002347021,0.0178782501125815,0.0187932496335955,0.0116087857523862,0.0040340593506355,0.0212388075041484,0.00874813363790544,0.0040369079051305,0.0286247962767285,0.00171579434498945,0.00200116461035948,0.000285823977729171,0.0104132757261225,0.00088653733873211,0.00822686149322333,0.00709991999658925,0.0291105431564538,0.0105980738021257,0.0182786329943405,0.0260484054411359,0.00187502553117637
1988,0.00639305015810442,0.000417019003721789,0.0113319218141395,0.0488705657042704,0.00669989784922465,0.0147538882603269,0.00910898380388645,0.00654152769455406,0.0156737902413842,0.0185875133105517,0.0194818662451275,0.0255882632989256,0.0101535553298484,0.00447906282399022,0.005780179980203,0.0125044604571686,0.0197375093974434,0.0228350979750971,0.0116962721031016,0.00637451228223313,0.0109939269936344,0.0098125967556112,0.0205084764787437,0.01928598068814,0.0358963994699384,0.0154059082124934,0.00559407734744345,0.00737733860716371,0.0523872699838363,0.0586105266386987,0.0179532699282619,0.00515791387679896,0.0165720040839346,0.00454259067251572,0.0138548590495764,0.016721581339505,0.0232373412546649,0.0249752731291702,0.0283238613618573,0.020588945303044,0.0106090149158579,0.0163814032845093,0.00422663445415405,0.00683755884673886,0.0221713360648138,0.0181030366388655,0.0116393451710899,0.011284511891423,0.00712099230705959,0.0127098876688459,0.0115741173827857,0.00609371275421655,0.0568992275272048,0.00139313090605875,0.00222543521261122,0.000334659511287172,0.0226690079274652,0.00296196656771882,0.00640875050960371,0.0178934037758017,0.0140408705857617,0.00239805382277519,0.0145758056739006,0.0313415640648474,0.00329749362626857
1989,0.00422005081465406,0.000399275984720366,0.0173531409568187,0.029879676028156,0.00529800072047206,0.0192996870642669,0.0130427078395425,0.00416008242847663,0.0292972302664958,0.00960964542821233,0.0180467799632833,0.0412617578387106,0.00980890765656795,0.00809911447039437,0.00349913816848983,0.00659711294847518,0.0236423160592446,0.0138084833197669,0.00449018983364333,0.0155575576418497,0.00367870376222112,0.00909460481890905,0.0150471966540576,0.0072569981722163,0.021961454511748,0.0251853552144382,0.0221759232926811,0.00707498787235888,0.056593861412776,0.0613308660126262,0.0125290116810271,0.00571707596156141,0.0185233219039997,0.00781326386911806,0.029486378285229,0.0100124576450108,0.011292407007499,0.0234107622627719,0.0163559752223545,0.0123919873837688,0.00728535558547991,0.0195924672099614,0.00858359214894612,0.00493358120911339,0.0154165109138368,0.0223862169817119,0.0066008421694708,0.0137615123741792,0.00799379156051269,0.0201222412298211,0.010170994885419,0.00596294075052929,0.0526009861427475,0.00172100234010427,0.00266102403814656,0.000302750079011989,0.0234532405590198,0.00178759720072785,0.0230402719500832,0.017144559045582,0.0167086642740793,0.00645360439105764,0.0205740040812359,0.0300366911551208,0.00640210934548787
