"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
1980,0.00596885034713385,0.0003607373123788,0.0082948920409114,0.0484765671618286,0.0311166445844998,0.0101352498504529,0.00540680326840459,0.0113542251143556,0.0708426978306082,0.00742085368981508,0.0227242497402299,0.0670160641913113,0.0029626081330018,0.0627372021679735,0.00291287865717027,0.012376954093272,0.00316551070604664,0.00871274223289984,0.00111958220344758,0.0159600078962324,0.00185870425091281,0.0565900333800793,0.0674886644515424,0.00719448426288785,0.0539591402728953,0.0147943445940269,0.0209421565961283,0.0159610169214912,0.023487294330571,0.0787027073066731,0.00110904894795668,0.0745862620861864,0.000662102921271093,0.00669923200775391,0.0101986503657847,0.00450336411541428,0.0108848151279094,0.00487231156385978,0.0159219992673583,0.0175155291718937,0.0249086845613431,8.73814191686901e-05,0.00466651973113252,0.0741319834681776,0.00920824765560766
1981,0.00818464202807762,0.000339913427076367,0.0162806743319324,0.0604349817262127,0.123678272416099,0.0115061803226767,0.0105803535355692,0.00812020048957478,0.0898256245168406,0.00459945462781828,0.00971897544231795,0.0885996737151372,0.00192802417267972,0.0295502524686421,0.00249159626382455,0.0128750665731685,0.00696391195244199,0.0125841139795584,0.00294974666325972,0.0101028428224694,0.00385361386386358,0.0404232826695794,0.0221375803363948,0.010931372620605,0.0348085808341254,0.0108325448998663,0.00893785244907723,0.0116445713785095,0.0240503585379111,0.0695560003954217,0.00495373288444036,0.0499064625136905,0.000703393038043502,0.00950183425289829,0.0119910466843858,0.00492763565383009,0.0155749198069718,0.00483863371787198,0.0104768473807961,0.0219626264994432,0.00860207610968528,0.000161008335591828,0.0026933751050551,0.0968892507654573,0.00832689779110736
1982,0.00945076805975561,0.000359515067030307,0.0490910935815754,0.0425960690500462,0.0212717404814627,0.00798156744377494,0.0106781046021198,0.0157122452723909,0.0505245243908279,0.00397756536126086,0.023990488342711,0.0582219383321124,0.00370838244963515,0.0366829377573959,0.00324246134099705,0.0105254625078138,0.00223721660092851,0.0106333474079035,0.000688341667855934,0.0104102600638709,0.00410239510654032,0.036669176637959,0.016204371018915,0.0171716662751567,0.0582288085863537,0.0268765363631896,0.0104286496256733,0.0087945463128083,0.0325984420756984,0.0485383541205973,0.00232321866895092,0.106717795770086,0.000316040753999672,0.0237642044783956,0.0232807936640397,0.00218520456786144,0.0164825454418185,0.00416131567742201,0.0150921767354184,0.0203153959560424,0.0115292648561391,0.000198457022333451,0.00309756211249984,0.130115399016534,0.00882364937409828
1983,0.0095008208317547,0.000356560642884151,0.124711766464053,0.0819501631635229,0.0181846076168035,0.0111792914321747,0.00308438328668053,0.0115332629264499,0.0804991968542395,0.00301829141088853,0.00370792604870735,0.0665911140209862,0.00158459350946276,0.0245076241058366,0.00544679807810772,0.00981495171367931,0.00693123137566292,0.00187364358870731,0.000702323507283393,0.00750762714754467,0.00286748248188061,0.034011374386916,0.0179154791943779,0.0346741539490236,0.0362306056078955,0.00864414470194387,0.00440789511060773,0.0177974088755704,0.0337252489634442,0.0179370535088,0.00309790870662845,0.0958492184314029,0.000194876680236631,0.0166220744406606,0.0568577032960484,0.0041963423170202,0.00980475615007844,0.00352981446949002,0.0178158078294225,0.0149002540811298,0.0173537200345585,0.000329260258742547,0.00368171910922514,0.0690983226140482,0.00577119707541828
1984,0.00633584447924211,0.000376950013828895,0.0639615018358141,0.0300188419029487,0.0118656586027127,0.0103455928417074,0.0134420601365005,0.0505578942272603,0.183136470171647,0.00401047884643859,0.00806771531106478,0.0264978607106518,0.00437399860378242,0.029371691595874,0.00686804273979653,0.00396394268647444,0.00528932543936567,0.00776460988321998,0.00339624304263648,0.00553622907554931,0.0113890331367574,0.0323329605252115,0.0135470249096008,0.00625814571103796,0.016572044506769,0.00781045246746285,0.00395881009857164,0.00543789782179013,0.0231636640375964,0.0436240290918052,0.00740672826005912,0.074281651204763,0.000465338798241189,0.0163933247996746,0.105645881551785,0.00446961294502093,0.00472318582502426,0.00883474503661512,0.0139345163763752,0.0210666778391485,0.0207947397392037,0.000382914709871828,0.00415355372795294,0.0736244242400688,0.00454769049307713
1985,0.00793507999133449,0.000467107060931529,0.0703925974506712,0.0389635050016485,0.0194440932917892,0.0104297110192809,0.00777969568052344,0.0852521669265401,0.114163690375182,0.00518939212029647,0.00212586284507387,0.0197857548305711,0.00252712465609039,0.0226639272254123,0.00177068672833329,0.0117951524416201,0.00273387889983728,0.00365722711839813,0.00179401023325789,0.00735022536387958,0.00532840536316365,0.0586449577065488,0.00966952588239156,0.018523139037992,0.0191776798166438,0.023850811387362,0.00615690382167797,0.00975668463581544,0.0241956268216101,0.0108631209317301,0.00811314893351481,0.0546158637294319,0.000407331919572999,0.0147484399632632,0.220755484930453,0.00302143489175962,0.0074493350750215,0.00394376926672245,0.0126789114167364,0.0137376670300391,0.00423696593279495,0.00409481441633393,0.00360954135936008,0.0210194236508686,0.00518012281852025
1986,0.00452108909107605,0.000382426951507834,0.00464147575374193,0.0510992729000428,0.0371515181479762,0.00617410598799056,0.00990900057895644,0.0509777304435978,0.0915063994451314,0.00384179762474793,0.0196130625424632,0.116314127215271,0.00427785186798812,0.0320425262566309,0.00792264379690531,0.0085057845672695,0.00233876877664241,0.017191432717228,0.000699376933117218,0.00441756675482231,0.00773104140710058,0.05325859650668,0.0235016476723713,0.026240450299904,0.0279954313664576,0.00962975053146476,0.0145290350007028,0.00491101791449262,0.0235423818338129,0.0261818902183342,0.00839006695412189,0.0471263702352953,0.000643465936288325,0.02054145965046,0.021256509403989,0.00300894329226693,0.0216670589846561,0.00297678376617767,0.0144356775701531,0.0198169736943528,0.0113405375392371,0.00871733754597352,0.00397986189925778,0.117605033639963,0.00744471878337979
1987,0.00643667322332953,0.000374747449473478,0.0290880479144598,0.0220546963368301,0.0165550523823951,0.0164223973319344,0.0115761394570885,0.161834699584067,0.0951631171005623,0.00514398791498986,0.0065534974225344,0.0150348242341881,0.0034395540671674,0.0306692782235012,0.00509523127883759,0.01880741453636,0.00436682355538093,0.0111556279612705,0.0011691886248827,0.00171378705368222,0.0130998128991933,0.0287271193251344,0.0353268527560673,0.0437645019563573,0.0172308397917817,0.012463780408956,0.0208995371645154,0.00967309571598471,0.0385356099831158,0.0577183620698547,0.0066809941395776,0.0526623698453138,0.000645947801182022,0.0208707078189649,0.0441022784714788,0.00197315546402733,0.0127055444500311,0.00158470526472796,0.00961905562190257,0.0130449587606355,0.00812468494425718,0.0013951312505927,0.0116042796862819,0.0715627089223522,0.00332917983477885
1988,0.00567968355338963,0.000400771256638102,0.0747208404556608,0.00806052262054223,0.0126177341999057,0.0478877447847422,0.0021511473245783,0.0280070726965282,0.108538084363844,0.00207347002911663,0.00593971537981032,0.0165967730540946,0.00376764933313594,0.0184531868095479,0.00259476026078844,0.0168778091830193,0.0118871191542548,0.00157923904682884,0.000963092806797119,0.00506369818246651,0.00445719815277741,0.0549649156056474,0.00721801978745288,0.0300298995167269,0.011907511396723,0.0188257009504891,0.0072680593947766,0.0177086438207196,0.0354961737085213,0.0383911217259358,0.0112909004178155,0.0371255887086999,0.00049803463732476,0.0139893125401203,0.237074065127837,0.00226034975287407,0.00655437665198503,0.00383064007691354,0.00782309403370294,0.00862578645114337,0.0118624708633421,0.00321616965977998,0.00893874068440526,0.0397663996730294,0.00701671216556696
1989,0.00665150958108433,0.000407962697758306,0.0282416927667799,0.0311193730970289,0.0179244371987434,0.103278421883853,0.0132685562899649,0.0619375022687629,0.123765364522489,0.00546897845355637,0.013286591263072,0.0494194873634703,0.00364975868266522,0.0332616266909057,0.00457970676728949,0.0160716298382283,0.0114990094631274,0.00229972236066002,0.00316294090928363,0.0051735561635826,0.0125041593824803,0.0373131770187969,0.00388442776911982,0.0220859502251586,0.0160581988260898,0.0199071917416277,0.0112902368081158,0.0171146469818323,0.036148110617728,0.0156608176255257,0.0122769374907654,0.0508405738674584,0.000601416034757614,0.0309049113024821,0.0331486758969861,0.0042162784585964,0.0296413293262032,0.00352719096902057,0.0139359521072865,0.0277456883114298,0.00955769842819444,0.00875220925964231,0.00666790498536526,0.0337733698135706,0.0079751184894604
