"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55"
1980,0.00500454631941594,0.000442970272008982,0.0175916259176202,0.0842305198620632,0.00634386416528813,0.0254689282630094,0.00520830846792613,0.00619221670149202,0.0172414952504626,0.016457647701752,0.0152146403698916,0.0144064920244696,0.0101396332400054,0.0189100075810461,0.00769016962205441,0.00271056368548442,0.018617848236903,0.0171536350933954,0.00690079175152331,0.0330859608325612,0.00119928784121341,0.020452278554053,0.0322374099775666,0.00553491363997772,0.0472139307346438,0.00822750872510725,0.0106033767974824,0.00817466924422596,0.0439666595552684,0.0808259258151559,0.0321019604468634,0.00174754589495151,0.00965678512823785,0.00846339126974713,0.0278937435304969,0.0145282078103734,0.0316310377069806,0.0148956777939193,0.0150215130693777,0.0157491592492715,0.0102143703252797,0.0153496007475676,0.00586355282252503,0.00449874243420131,0.0330534086679852,0.0242658227052507,0.0548744774958989,0.0145623562267025,0.00223229368110846,0.00764037506927704,0.0333582605314127,0.0103922650586895,0.0212870398528291,0.00045199904376617,0.00281858719421954
1981,0.00994938363980478,0.000815973245390461,0.0128950696038329,0.0736755073156602,0.00765395371480974,0.0197710914860374,0.0180613601656579,0.0033625939051574,0.0127163669866175,0.0161215454417111,0.0461398240601549,0.0280192634202714,0.00946830727459517,0.0133149567029545,0.00684094811872362,0.00452353182987851,0.0108427443664578,0.0322211006298212,0.00765294016567228,0.040277458145286,0.000571882507790234,0.0249368814438047,0.0464980058763456,0.00982349884655211,0.029316207363509,0.0210253045530382,0.0135248085572729,0.0133031375341528,0.0505138672441582,0.0638272917998567,0.0205232234933245,0.00187975049436575,0.0198504785430627,0.00801907778075427,0.0291629026816773,0.00525126521508867,0.0201238054354239,0.011599666686969,0.0144434047444272,0.00982704528223629,0.00720014591928616,0.0181421480102197,0.0066948181385413,0.0138312835485987,0.0243798605170793,0.0238062550011285,0.0223396024260885,0.0167420934967007,0.00108851444397341,0.00772512207078957,0.0118758118642777,0.00400565237902613,0.0513667575494267,0.000516124329310693,0.00194038400324823
1982,0.00796504285405325,0.000534082741176881,0.0128979676252873,0.0388698631222038,0.0072747072805962,0.0183714362436291,0.0111198074392741,0.00278849648049248,0.0146101352584116,0.0208396634372513,0.0430825894187716,0.0345670626676861,0.00675251391192395,0.00423244121041491,0.00451127308063375,0.00984884648856598,0.0178844838375102,0.0295886317271537,0.0156760755031556,0.0397237761485966,0.00301470381509095,0.0264161004433647,0.0333311897643722,0.0126955670927888,0.0572250881711499,0.0256267623282013,0.0232494064837549,0.0146845621142724,0.0477713699983802,0.0734745895253936,0.00801541341962208,0.00400400643253979,0.0163528419812597,0.0132941465344443,0.0195745837451212,0.0223250232033847,0.0104166035109019,0.0262801636973845,0.0221136972036936,0.0115785983350833,0.0131367127863451,0.0149482280398604,0.00903155552999759,0.0102897388794727,0.0180041023510812,0.0293788830072495,0.0169161969553281,0.012079693093672,0.000537973601374764,0.00991521943542067,0.0178958753311042,0.00135869265844103,0.0288191640403712,0.00254211554418051,0.00256253446910871
1983,0.00848276360424001,0.00053526814851309,0.0406971073937439,0.060605856679258,0.0071672300918218,0.017419439056677,0.0113666791207101,0.00196495470004464,0.0128119858544813,0.0231906573300954,0.0227098628050053,0.0254909647244104,0.00932443959251491,0.0190518788775207,0.00283296842337255,0.00654490381122535,0.0176482799546163,0.0207522241713907,0.00307200705842366,0.0416892951465749,0.00793262340721339,0.0362866416346332,0.0469249518862187,0.014946597388619,0.0390028689289404,0.00780090682324128,0.0212025812614826,0.00898424068018612,0.0518329674183391,0.0681753996832454,0.0147001905965199,0.00108594209265126,0.0254463044069934,0.00638265483106546,0.0290641210330073,0.0161574088694628,0.0129668673248896,0.0242573069075817,0.0231348719997287,0.0159923245313513,0.0117793259736731,0.0185109675955843,0.00482954975707339,0.00375836013871531,0.0151089364857276,0.0161266912057345,0.0203384759164513,0.00605571779743182,0.000411659328632684,0.0176505942755874,0.0122044267581989,0.00618846717495619,0.0335856036907356,0.00438098961827101,0.00343369603321617
1984,0.00953381747463376,0.000355895539754524,0.0360061870515394,0.0591706686900115,0.00563603196123962,0.0179374254140633,0.0062732730124057,0.00753893473198026,0.0148982448118066,0.00820585029861863,0.0396593879576468,0.0448167400629663,0.00662136584828522,0.00641164058602761,0.00416426368689941,0.00596128848006755,0.0200242267112915,0.0321232581785324,0.00808010093934927,0.0219640029880108,0.00248894858601918,0.0260391094368042,0.021774812426939,0.00927642665842825,0.0342583825376986,0.0118778788206292,0.0257773833933869,0.0114374896569623,0.0631613503431125,0.0706461862584274,0.0155919784064264,0.00168207145789936,0.0148573994862285,0.00837390891386797,0.043377050956711,0.0178178434882697,0.0176192675898808,0.0136353700343524,0.0192473009454864,0.0145239436204799,0.00603731421993988,0.018651326910619,0.00508613251077108,0.00892837069627076,0.0229279468192605,0.0299527717477588,0.0135841893377391,0.0103260010336234,0.00115860398989309,0.0200567627983381,0.0197231353622414,0.00791663034495575,0.0305283898676444,0.00289975426592118,0.00337596265188369
1985,0.00612578612914739,0.00040308493030327,0.0550289829302733,0.0482918621384891,0.00595816905167489,0.0197907966979489,0.00662475363960296,0.0039929755494462,0.0118343006303653,0.0154569102647428,0.0363656659986511,0.0152059625798759,0.00425383160847352,0.0256506140657256,0.0078835025961807,0.00295459979595894,0.0140319273121047,0.0263457271023165,0.0247821372502957,0.0259330146422495,0.00134711706598249,0.0260630217099969,0.021375765409319,0.0107357059324743,0.0181436538212521,0.0133668802391827,0.0198689648250765,0.00625739790188443,0.0617829043204602,0.0504404020716723,0.0237511719938257,0.00159453661345927,0.0155124703950868,0.0100327888889321,0.0761815411613319,0.00579779517694338,0.0108378672165375,0.0185977253739403,0.0245263301815527,0.0146113094120494,0.0139836472497078,0.0182768274441142,0.00484543758264724,0.00725084930417001,0.0242007138279859,0.0400382257823412,0.0169421504466213,0.0171532246588622,0.00059720675680795,0.0193419372082833,0.0169909721377006,0.00426424227207291,0.0252049644533326,0.000649782126729458,0.00251986412383704
1986,0.00669266132642063,0.000414014710433915,0.0286817547364177,0.054259099845455,0.0074466188631348,0.0294609256797715,0.0133132461561621,0.010849796237087,0.0220337220679077,0.0098202982740791,0.0422119549687995,0.0220328754388781,0.00363751807850955,0.0132657259540832,0.00805411240009204,0.00837972404316705,0.0170385433799227,0.0236712950594751,0.00375440398917127,0.0201404914829792,0.00103381496363286,0.0222699745322691,0.0290209375405304,0.0112641339836669,0.029901576551608,0.0117304266693733,0.0241844438437567,0.0065716517494571,0.0617157365461282,0.0512190748233307,0.022548164173918,0.0023151539789501,0.0242591795809284,0.00938227020798236,0.0412955673710394,0.00281472450255743,0.0274508968741044,0.0308244685498763,0.0171887197092289,0.00824161106484139,0.0108982847257439,0.0156159045408124,0.0119455692730017,0.00855211863444782,0.0264322096788225,0.0314929143978598,0.0109716537238585,0.0192312985014968,0.000785547711239717,0.0234757822978839,0.0178594052050902,0.00593219833786795,0.0324815675678296,0.00161281940782499,0.00232141608709303
1987,0.0142185619291733,0.000523623337939629,0.029154749428025,0.0368003679957812,0.00481900061539901,0.033411167504964,0.0111348380035962,0.00576010368413285,0.0138575732438708,0.0152412743471046,0.0372563746990124,0.0114080883852986,0.00489054679746569,0.0346517582804566,0.0168489961604837,0.00547294413558782,0.0223714498387493,0.00958099455720151,0.019928573848843,0.0306723503565115,0.00275495303513196,0.0245980121967741,0.0253407836934883,0.00784727504514514,0.0502191949927525,0.0227392127096865,0.0118260433222144,0.00589264631679089,0.0813844341173423,0.0440904376707047,0.0149135157010567,0.00242171297869382,0.0205084052239399,0.00698888327429442,0.0339631957188599,0.00576842978748688,0.0255973657305165,0.0382521381900898,0.0148455371032703,0.0131914951288329,0.00864909901964723,0.0173809657203498,0.00318261555271097,0.018135848957491,0.0237159196585402,0.0198030576470304,0.018999276051952,0.0151885519641591,0.000607760336890949,0.0210741962585279,0.00974604251274414,0.0025898603011909,0.0261390811594965,0.00103186496383405,0.00260885080876643
1988,0.00852511695105421,0.000436375617231797,0.0125352023874042,0.0577299831298657,0.00654826173127881,0.0166370322619901,0.0132351837479831,0.00884104222424368,0.0121753334714804,0.0197130724373433,0.0251979658352103,0.0252607634244976,0.00944986725099317,0.0120460860858183,0.00738071348442661,0.0132184365383849,0.0199980390151748,0.0253079953427718,0.0122070333472868,0.00673060064468489,0.00966498163428597,0.0292763887560608,0.0231087471912637,0.0238897909539754,0.0368341577827906,0.0225405475095254,0.00894109680976023,0.00818685467282135,0.0592559019093764,0.0629228483787785,0.0211196367554695,0.00312828170598627,0.0328129569579678,0.00534203528761757,0.0172200694894539,0.0187039471174144,0.0231117077585435,0.0316014466887076,0.0230242111841619,0.0216464575027732,0.0108769846956303,0.0168195312854477,0.00858124421146497,0.0078495265328303,0.02111915190198,0.0198833747204783,0.0154246927044178,0.0178884268285982,0.00124597273394378,0.0126324880319518,0.0144081150967535,0.00492876173294747,0.048242721179979,0.000884915618612393,0.00370792174910617
1989,0.00555490707635392,0.000499898486814651,0.0185252968251916,0.0394143070632964,0.00541343731177931,0.0230773851363045,0.0150026336529172,0.00888373362125475,0.023447955880721,0.0125107642770117,0.0237477934241505,0.0410850821460166,0.00917218371595378,0.0164115589215831,0.00425340937035143,0.00788801697824094,0.0242335285707352,0.0138718277645672,0.00954740938646837,0.0160556387997468,0.00305138210861605,0.0272409553276288,0.0212224266091601,0.0130820312099021,0.0226928080757502,0.0307232908019293,0.0315193664461781,0.00705786352457938,0.0624406274607171,0.0603127068058877,0.0138320591364529,0.00215366251642143,0.0335365667855941,0.0103829516842767,0.0373123413516292,0.0100889663932453,0.0112236968481908,0.0304488643652006,0.0175826895722754,0.0134956390148668,0.00823456171715497,0.0193102795781168,0.0140819223251207,0.00476672019769124,0.0156729217883072,0.0224969905773932,0.0087401787136855,0.0193298389872481,0.00114261117411959,0.0209822402861854,0.0125991498258875,0.00564200870442135,0.0653283011440308,0.000756209346628077,0.00291840118604844
1990,0.0098591335933936,0.000649155262061124,0.0107570600813793,0.0535441338937662,0.00708250639355435,0.0162761785083845,0.0145630281579421,0.00888869998419105,0.0112942979508443,0.0130990863813886,0.0297341081695445,0.052064070307121,0.0104856829889949,0.0129893869785081,0.00574801861647151,0.00934981298479718,0.0155015007429009,0.0219696423202995,0.0103013523241348,0.0083822471354346,0.00450984431131878,0.0314662931444693,0.0209911714970186,0.0212823185516498,0.0335683129023307,0.0176734675680497,0.0369107097953207,0.010568510862465,0.048724293613778,0.0418318766198648,0.0206235410512393,0.00738635717546207,0.0390303778403941,0.0112691845876234,0.0228843070740006,0.0179004361916364,0.0192055496141554,0.0247682207137641,0.0232994689364589,0.0145464575825794,0.0169792487140798,0.0107767425107852,0.0203237793758946,0.0060719679219741,0.0221786183744845,0.0118625236963081,0.0146136485893592,0.0213318957665825,0.00104764138957032,0.0133281040561967,0.0112364136687984,0.00349641207374895,0.0514737853014206,0.00122391921764933,0.00307549693445641
1991,0.00971931502327828,0.000618907828564522,0.0246602752806563,0.0508073838281975,0.00874481943011136,0.0167402932178899,0.00491069305019788,0.0171202135389114,0.0138738696800754,0.0183958562267192,0.0345728667393623,0.048190728223061,0.0108481879304269,0.0170632993902878,0.00970114442544313,0.00729352861477584,0.0173089619757965,0.0144914066735323,0.00757796510570115,0.0138170784857308,0.00247964540614931,0.0269569734047311,0.0251512917944913,0.0122883403735192,0.0365290137989891,0.0195710663300435,0.0077693730948749,0.00807904339463829,0.0548228540583741,0.0574832291321829,0.00945714981942423,0.00280579686988058,0.0243832508962707,0.00743768300906857,0.0193144237861428,0.0188082350413173,0.0246237759223019,0.0221845573218493,0.0402610399159973,0.0170521023664145,0.020145998107802,0.0105069085804873,0.0119979538220389,0.0103700184277881,0.0203360747269736,0.017181236113811,0.00977810254629567,0.0217177393050524,0.0021409974528102,0.0131208436666163,0.0201466937950285,0.0043189845636637,0.0477864736807368,0.0028791182876564,0.00365721651785871
